Acan,ENSG00000157766
Arsa,ENSG00000100299
Arsb,ENSG00000113273
Arsc,ENSG00000101846
Arsd,ENSG00000006756
Arse,ENSG00000157399
Arsf,ENSG00000062096
Arsg,ENSG00000141337
Arsi,ENSG00000183876
Arsj,ENSG00000180801
Arsk,ENSG00000164291
B3galt6,ENSG00000176022
B3gat3,ENSG00000149541
B4galt7,ENSG00000027847
Chpf,ENSG00000123989
Chpf2,ENSG00000033100
Chst1,ENSG00000115526
Chst11,ENSG00000171310
Chst12,ENSG00000136213
Chst13,ENSG00000180767
Chst14,ENSG00000169105
Chst15,ENSG00000182022
Chst2,ENSG00000175040
Chst3,ENSG00000122863
Chst4,ENSG00000140835
Chst7,ENSG00000147119
Chst9,ENSG00000154080
Chsy1,ENSG00000131873
Chsy3,ENSG00000198108
Csgalnact1,ENSG00000147408
Csgalnact2,ENSG00000169826
Dse,ENSG00000111817
Ext1,ENSG00000182197
Ext2,ENSG00000151348
Fam20a,ENSG00000108950
Fam20b,ENSG00000116199
Fam20c,ENSG00000177706
Galns,ENSG00000141012
Glb1,ENSG00000163521
Gns,ENSG00000135677
Gusb,ENSG00000169919
Ids,ENSG00000010404
Prg4,ENSG00000116690
Sgsh,ENSG00000181523
Sulf1,ENSG00000137573
Sulf2,ENSG00000196562
Sumf1,ENSG00000144455
Sumf2,ENSG00000129103
Ust,ENSG00000111962
Xylt1,ENSG00000103489
Xylt2,ENSG00000015532
