Organism,Genes
Homo Sapiens,Acan Arsa Arsb Arsc Arsd Arse Arsf Arsg Arsi Arsj Arsk B3galt6 B3gat3 B4galt7 Chpf Chpf2 Chst1 Chst11 Chst12 Chst13 Chst14 Chst15 Chst2 Chst3 Chst4 Chst7 Chst9 Chsy1 Chsy3 Csgalnact1 Csgalnact2 Dse Ext1 Ext2 Fam20a Fam20b Fam20c Galns Glb1 Gns Gusb Ids Prg4 Sgsh Sulf1 Sulf2 Sumf1 Sumf2 Ust Xylt1 Xylt2 
Pan Troglodytes,Acan Arsa Arsb Arsc Arsd Arsf Arsg Arsi Arsj Arsk B3galt6 B3gat3 B4galt7 Chpf Chpf2 Chst1 Chst11 Chst12 Chst13 Chst15 Chst2 Chst3 Chst4 Chst7 Chst9 Chsy3 Csgalnact1 Csgalnact2 Dse Ext1 Ext2 Fam20a Fam20b Galns Glb1 Gns Gusb Ids Prg4 Sgsh Sulf1 Sulf2 Sumf1 Sumf2 Ust Xylt1 Xylt2 
Pan Paniscus,Acan Arsa Arsb Arsc Arse Arsf Arsg Arsi Arsj Arsk B3gat3 B4galt7 Chpf Chpf2 Chst1 Chst11 Chst12 Chst13 Chst14 Chst15 Chst3 Chst4 Chst7 Chst9 Chsy1 Chsy3 Csgalnact1 Csgalnact2 Dse Ext1 Ext2 Fam20a Fam20b Fam20c Galns Glb1 Gns Gusb Ids Prg4 Sgsh Sulf1 Sulf2 Sumf1 Ust Xylt1 Xylt2 
Gorilla Gorilla,Acan Arsa Arsb Arsc Arsd Arse Arsf Arsg Arsi Arsj Arsk B4galt7 Chpf Chpf2 Chst1 Chst11 Chst12 Chst13 Chst14 Chst15 Chst2 Chst3 Chst4 Chst7 Chst9 Chsy1 Chsy3 Csgalnact1 Csgalnact2 Dse Ext2 Fam20a Fam20b Fam20c Galns Glb1 Gns Gusb Prg4 Sgsh Sulf1 Sulf2 Sumf1 Sumf2 Ust Xylt1 Xylt2 
Nomascus Leucogenys,Acan Arsa Arsb Arsc Arsd Arse Arsf Arsg Arsi Arsj Arsk B3gat3 B4galt7 Chpf Chpf2 Chst1 Chst11 Chst12 Chst13 Chst14 Chst15 Chst2 Chst3 Chst7 Chst9 Chsy1 Chsy3 Csgalnact1 Csgalnact2 Dse Ext1 Ext2 Fam20a Fam20b Fam20c Galns Glb1 Gns Gusb Ids Prg4 Sgsh Sulf1 Sulf2 Sumf1 Ust Xylt1 Xylt2 
Colobus Angolensis Palliatus,Acan Arsa Arsb Arsc Arsd Arse Arsf Arsg Arsi Arsj Arsk B3gat3 Chpf Chpf2 Chst1 Chst11 Chst12 Chst13 Chst14 Chst15 Chst2 Chst3 Chst9 Chsy1 Chsy3 Csgalnact1 Csgalnact2 Dse Ext1 Ext2 Fam20a Fam20b Fam20c Galns Glb1 Gns Gusb Ids Prg4 Sgsh Sulf1 Sulf2 Sumf1 Ust Xylt1 Xylt2 
Theropithecus Gelada,Acan Arsa Arsb Arsc Arsd Arsf Arsg Arsi Arsj Arsk B3galt6 B3gat3 B4galt7 Chpf Chpf2 Chst1 Chst11 Chst12 Chst13 Chst15 Chst2 Chst3 Chst4 Chst7 Chst9 Chsy1 Chsy3 Csgalnact1 Csgalnact2 Dse Ext1 Ext2 Fam20a Fam20b Fam20c Galns Glb1 Gns Gusb Ids Prg4 Sgsh Sulf1 Sulf2 Sumf1 Ust Xylt1 Xylt2 
Papio Anubis,Acan Arsa Arsb Arsc Arsd Arse Arsf Arsg Arsi Arsj Arsk B3galt6 B3gat3 B4galt7 Chpf Chpf2 Chst1 Chst11 Chst12 Chst13 Chst15 Chst2 Chst3 Chst4 Chst7 Chst9 Chsy1 Chsy3 Csgalnact1 Csgalnact2 Dse Ext1 Ext2 Fam20a Fam20b Fam20c Galns Glb1 Gns Gusb Ids Prg4 Sgsh Sulf1 Sulf2 Sumf1 Ust Xylt1 Xylt2 
Macaca Nemestrina,Acan Arsa Arsb Arsc Arse Arsf Arsg Arsi Arsj Arsk B3gat3 B4galt7 Chpf Chpf2 Chst1 Chst11 Chst12 Chst13 Chst15 Chst2 Chst3 Chst4 Chst7 Chst9 Chsy1 Chsy3 Csgalnact1 Csgalnact2 Dse Ext1 Ext2 Fam20a Fam20b Fam20c Galns Glb1 Gns Gusb Ids Prg4 Sgsh Sulf1 Sulf2 Sumf1 Sumf2 Ust Xylt1 Xylt2 
Macaca Fascicularis,Acan Arsa Arsb Arsc Arsd Arse Arsf Arsg Arsi Arsj Arsk B3galt6 B3gat3 B4galt7 Chpf Chpf2 Chst1 Chst11 Chst12 Chst13 Chst15 Chst2 Chst3 Chst4 Chst7 Chst9 Chsy1 Chsy3 Csgalnact1 Csgalnact2 Dse Ext1 Ext2 Fam20a Fam20b Fam20c Galns Glb1 Gns Gusb Ids Prg4 Sgsh Sulf1 Sulf2 Sumf1 Sumf2 Ust Xylt1 Xylt2 
Macaca Mulatta,Acan Arsa Arsb Arsc Arsd Arse Arsf Arsg Arsi Arsj Arsk B3galt6 B3gat3 B4galt7 Chpf Chpf2 Chst1 Chst11 Chst12 Chst13 Chst14 Chst15 Chst2 Chst3 Chst4 Chst7 Chst9 Chsy1 Chsy3 Csgalnact1 Csgalnact2 Dse Ext1 Ext2 Fam20a Fam20b Fam20c Galns Glb1 Gns Gusb Ids Prg4 Sgsh Sulf1 Sulf2 Sumf1 Sumf2 Ust Xylt1 
Mandrillus Leucophaeus,Acan Arsa Arsb Arsc Arsd Arse Arsf Arsg Arsi Arsj Arsk B3gat3 B4galt7 Chpf Chpf2 Chst1 Chst11 Chst13 Chst14 Chst15 Chst2 Chst3 Chst4 Chst7 Chst9 Chsy1 Chsy3 Csgalnact1 Csgalnact2 Dse Ext1 Ext2 Fam20a Fam20b Fam20c Galns Glb1 Gns Gusb Ids Prg4 Sgsh Sulf1 Sulf2 Sumf1 Sumf2 Ust Xylt1 Xylt2 
Rhinopithecus Roxellana,Acan Arsa Arsb Arsc Arsd Arse Arsf Arsg Arsi Arsj Arsk B3galt6 B3gat3 B4galt7 Chpf Chpf2 Chst1 Chst11 Chst12 Chst13 Chst15 Chst2 Chst3 Chst7 Chst9 Chsy1 Chsy3 Csgalnact1 Csgalnact2 Dse Ext1 Ext2 Fam20a Fam20b Fam20c Galns Glb1 Gns Gusb Ids Prg4 Sgsh Sulf1 Sulf2 Sumf1 Ust Xylt1 Xylt2 
