Homo sapiens
Pan troglodytes
Pan paniscus
Gorilla gorilla
Pongo abelii
Nomascus leucogenys
Colobus angolensis
Theropithecus gelada
Papio anubis
Macaca nemestrina
Macaca fascicularis
Macaca mulatta
Mandrillus leucophaeus
Rhinopithecus roxellana
Cercocebus atys
Rhinopithecus bieti
Saimiri boliviensis
Cebus capucinus
Aotus nancymaae
Callithrix jacchus
Oryctolagus cuniculus
Carlito syrichta
Tupaia belangeri
Ochotona princeps
Peromyscus maniculatus
Piliocolobus tephrosceles
Cricetulus griseus
Marmota marmota
Heterocephalus glaber
Microtus ochrogaster
Ursus maritimus
Mesocricetus auratus
Spermophilus dauricus
Jaculus jaculus
Chinchilla lanigera
Nannospalax galili
Octodon degus
Castor canadensis
Mus musculus
Fukomys damarensis
Cricetulus griseus
Prolemur simus
Heterocephalus glaber
Panthera tigris
Ictidomys tridecemlineatus
Neovison vison
Cavia porcellus
Microcebus murinus
Equus asinus
Mus spicilegus
Panthera pardus
Dipodomys ordii
Propithecus coquereli
Cavia aperea
Rattus norvegicus
Mus spretus
Mus pahari
Mus caroli
Urocitellus parryii
Meriones unguiculatus
Cricetulus griseus
Otolemur garnettii
Loxodonta africana
Procavia capensis
Equus caballus
Mustela putorius
Felis catus
Sus scrofa
Bison bison
Pteropus vampyrus
Tursiops truncatus
Bos taurus
Canis lupus familiaris
Bos taurus
Ailuropoda melanoleuca
Vulpes vulpes
Ovis aries
Bos mutus
Ursus americanus
Canis lupus
Capra hircus
Myotis lucifugus
Bos indicus
Sorex araneus
Dasypus novemcinctus
Echinops telfairi
Erinaceus europaeus
Denticeps clupeoides
Choloepus hoffmanni
Monodelphis domestica
Sarcophilus harrisii
Notamacropus eugenii
Vombatus ursinus
Ornithorhynchus anatinus
Anas platyrhynchos
Chelonoidis abingdonii
Pogona vitticeps
Apteryx haastii
Sphenodon punctatus
Coturnix japonica
Numida meleagris
Pelodiscus sinensis
Gopherus agassizii
Taeniopygia guttata
Nothoprocta perdicaria
Manacus vitellinus
Cyanistes caeruleus
Salvator merianae
Anser brachyrhynchus
Apteryx owenii
Lonchura striata
Meleagris gallopavo
Anolis carolinensis
Junco hyemalis
Parus major
Zonotrichia albicollis
Ficedula albicollis
Crocodylus porosus
Gallus gallus
Apteryx rowi
Dromaius novaehollandiae
Calidris pugnax
Chrysemys picta
Notechis scutatus
Lepidothrix coronata
Melopsittacus undulatus
Hippocampus comes
Calidris pygmaea
Xenopus tropicalis
Betta splendens
Astyanax mexicanus
Pundamilia nyererei
Oryzias latipes
Stegastes partitus
Hucho hucho
Acanthochromis polyacanthus
Oryzias latipes
Callorhinchus milii
Oreochromis niloticus
Clupea harengus
Periophthalmus magnuspinnatus
Haplochromis burtoni
Latimeria chalumnae
Amphiprion ocellaris
Kryptolebias marmoratus
Oryzias latipes
Cyprinodon variegatus
Astyanax mexicanus
Poecilia mexicana
Seriola dumerili
Scleropages formosus
Lates calcarifer
Seriola lalandi
Anabas testudineus
Takifugu rubripes
Neolamprologus brichardi
Larimichthys crocea
Mola mola
Cynoglossus semilaevis
Gouania willdenowi
Fundulus heteroclitus
Labrus bergylta
Scophthalmus maximus
Xiphophorus couchianus
Monopterus albus
Tetraodon nigroviridis
Danio rerio
Poecilia formosa
Amphiprion percula
Xiphophorus maculatus
Cottoperca gobio
Amphilophus citrinellus
Mastacembelus armatus
Gasterosteus aculeatus
Poecilia reticulata
Pygocentrus nattereri
Oryzias melastigma
Poecilia latipinna
Ictalurus punctatus
Parambassis ranga
Esox lucius
Astatotilapia calliptera
Maylandia zebra
Gambusia affinis
Paramormyrops kingsleyae
Electrophorus electricus
Erpetoichthys calabaricus
Lepisosteus oculatus
Gadus morhua
Chlorocebus sabaeus
Petromyzon marinus
Eptatretus burgeri
Ciona savignyi
Drosophila melanogaster
Ciona intestinalis
Caenorhabditis elegans
Phascolarctos cinereus
Vicugna pacos
Serinus canaria
