name,preferred name,taxid(https://www.ncbi.nlm.nih.gov/Taxonomy/TaxIdentifier/tax_identifier.cgi)
Homo Sapiens,Homo sapiens,9606
Pan Troglodytes,Pan troglodytes,9598
Pan Paniscus,Pan paniscus,9597
Gorilla Gorilla,Gorilla gorilla,9593
Nomascus Leucogenys,Nomascus leucogenys,61853
Colobus Angolensis,Colobus angolensis,54131
Theropithecus Gelada,Theropithecus gelada,9565
Papio Anubis,Papio anubis,9555
Macaca Nemestrina,Macaca nemestrina,9545
Macaca Fascicularis,Macaca fascicularis,9541
Macaca Mulatta,Macaca mulatta,9544
Mandrillus Leucophaeus,Mandrillus leucophaeus,9568
Rhinopithecus Roxellana,Rhinopithecus roxellana,61622
Cercocebus Atys,Cercocebus atys,9531
Rhinopithecus Bieti,Rhinopithecus bieti,61621
Saimiri Boliviensis,Saimiri boliviensis,27679
Cebus Capucinus,Cebus capucinus,9516
Aotus Nancymaae,Aotus nancymaae,37293
Callithrix Jacchus,Callithrix jacchus,9483
Oryctolagus Cuniculus,Oryctolagus cuniculus,9986
Carlito Syrichta,Carlito syrichta,1868482
Peromyscus Maniculatus,Peromyscus maniculatus,10042
Piliocolobus Tephrosceles,Piliocolobus tephrosceles,591936
Cricetulus Griseus,Cricetulus griseus,10029
Marmota Marmota,Marmota marmota,9993
Heterocephalus Glaber,Heterocephalus glaber,10181
Microtus Ochrogaster,Microtus ochrogaster,79684
Ursus Maritimus,Ursus maritimus,29073
Mesocricetus Auratus,Mesocricetus auratus,10036
Spermophilus Dauricus,Spermophilus dauricus,99837
Jaculus Jaculus,Jaculus jaculus,51337
Chinchilla Lanigera,Chinchilla lanigera,34839
Nannospalax Galili,Nannospalax galili,1026970
Octodon Degus,Octodon degus,10160
Castor Canadensis,Castor canadensis,51338
Mus Musculus,Mus musculus,10090
Fukomys Damarensis,Fukomys damarensis,885580
Cricetulus Griseus,Cricetulus griseus,10029
Prolemur Simus,Prolemur simus,1328070
Heterocephalus Glaber,Heterocephalus glaber,10181
Panthera Tigris,Panthera tigris,9694
Ictidomys Tridecemlineatus,Ictidomys tridecemlineatus,43179
Neovison Vison,Neovison vison,452646
Cavia Porcellus,Cavia porcellus,10141
Microcebus Murinus,Microcebus murinus,30608
Equus Asinus,Equus asinus,9793
Mus Spicilegus,Mus spicilegus,10103
Panthera Pardus,Panthera pardus,9691
Dipodomys Ordii,Dipodomys ordii,10020
Propithecus Coquereli,Propithecus coquereli,379532
Cavia Aperea,Cavia aperea,37548
Rattus Norvegicus,Rattus norvegicus,10116
Mus Spretus,Mus spretus,10096
Mus Pahari,Mus pahari,10093
Mus Caroli,Mus caroli,10089
Urocitellus Parryii,Urocitellus parryii,9999
Meriones Unguiculatus,Meriones unguiculatus,10047
Cricetulus Griseus,Cricetulus griseus,10029
Otolemur Garnettii,Otolemur garnettii,30611
Loxodonta Africana,Loxodonta africana,9785
Equus Caballus,Equus caballus,9796
Mustela Putorius,Mustela putorius,9668
Felis Catus,Felis catus,9685
Sus Scrofa,Sus scrofa,9823
Bison Bison,Bison bison,9901
Bos Taurus,Bos taurus,9913
Canis Familiaris,Canis lupus familiaris,9615
Bos Taurus,Bos taurus,9913
Ailuropoda Melanoleuca,Ailuropoda melanoleuca,9646
Vulpes Vulpes,Vulpes vulpes,9627
Ovis Aries,Ovis aries,9940
Bos Mutus,Bos mutus,72004
Ursus Americanus,Ursus americanus,9643
Canis Lupus,Canis lupus,9612
Capra Hircus,Capra hircus,9925
Myotis Lucifugus,Myotis lucifugus,59463
Bos Indicus,Bos indicus,9915
Dasypus Novemcinctus,Dasypus novemcinctus,9361
Denticeps Clupeoides,Denticeps clupeoides,299321
Monodelphis Domestica,Monodelphis domestica,13616
Sarcophilus Harrisii,Sarcophilus harrisii,9305
Vombatus Ursinus,Vombatus ursinus,29139
Ornithorhynchus Anatinus,Ornithorhynchus anatinus,9258
Anas Platyrhynchos,Anas platyrhynchos,8839
Chelonoidis Abingdonii,Chelonoidis abingdonii,106734
Pogona Vitticeps,Pogona vitticeps,103695
Apteryx Haastii,Apteryx haastii,8823
Sphenodon Punctatus,Sphenodon punctatus,8508
Coturnix Japonica,Coturnix japonica,93934
Numida Meleagris,Numida meleagris,8996
Pelodiscus Sinensis,Pelodiscus sinensis,13735
Gopherus Agassizii,Gopherus agassizii,38772
Taeniopygia Guttata,Taeniopygia guttata,59729
Nothoprocta Perdicaria,Nothoprocta perdicaria,30464
Manacus Vitellinus,Manacus vitellinus,328815
Cyanistes Caeruleus,Cyanistes caeruleus,156563
Salvator Merianae,Salvator merianae,96440
Anser Brachyrhynchus,Anser brachyrhynchus,132585
Apteryx Owenii,Apteryx owenii,8824
Lonchura Striata,Lonchura striata,40157
Meleagris Gallopavo,Meleagris gallopavo,9103
Anolis Carolinensis,Anolis carolinensis,28377
Junco Hyemalis,Junco hyemalis,40217
Parus Major,Parus major,9157
Zonotrichia Albicollis,Zonotrichia albicollis,44394
Ficedula Albicollis,Ficedula albicollis,59894
Crocodylus Porosus,Crocodylus porosus,8502
Gallus Gallus,Gallus gallus,9031
Apteryx Rowi,Apteryx rowi,308060
Dromaius Novaehollandiae,Dromaius novaehollandiae,8790
Calidris Pugnax,Calidris pugnax,198806
Chrysemys Picta,Chrysemys picta,8479
Notechis Scutatus,Notechis scutatus,8663
Lepidothrix Coronata,Lepidothrix coronata,321398
Melopsittacus Undulatus,Melopsittacus undulatus,13146
Hippocampus Comes,Hippocampus comes,109280
Calidris Pygmaea,Calidris pygmaea,425635
Xenopus Tropicalis,Xenopus tropicalis,8364
Betta Splendens,Betta splendens,158456
Astyanax Mexicanus,Astyanax mexicanus,7994
Pundamilia Nyererei,Pundamilia nyererei,303518
Oryzias Latipes,Oryzias latipes,8090
Stegastes Partitus,Stegastes partitus,144197
Hucho Hucho,Hucho hucho,62062
Acanthochromis Polyacanthus,Acanthochromis polyacanthus,80966
Oryzias Latipes,Oryzias latipes,8090
Callorhinchus Milii,Callorhinchus milii,7868
Oreochromis Niloticus,Oreochromis niloticus,8128
Clupea Harengus,Clupea harengus,7950
Periophthalmus Magnuspinnatus,Periophthalmus magnuspinnatus,409849
Haplochromis Burtoni,Haplochromis burtoni,8153
Latimeria Chalumnae,Latimeria chalumnae,7897
Amphiprion Ocellaris,Amphiprion ocellaris,80972
Kryptolebias Marmoratus,Kryptolebias marmoratus,37003
Oryzias Latipes,Oryzias latipes,8090
Cyprinodon Variegatus,Cyprinodon variegatus,28743
Astyanax Mexicanus,Astyanax mexicanus,7994
