Gene,Core Protein,Xylosyltransferase,Galactosyltransferase,Glucuronyltransferase,Glycosyltransferase,Sulfotransferase,Sulfatase,Kinase,Sugar Epimerase,Glycosidase,Sulfohydrolase
Acan,1,0,0,0,0,0,0,0,0,0,0
Arsa,0,0,0,0,0,1,0,0,0,0,0
Arsb,0,0,0,0,0,1,0,0,0,0,0
Arsc,0,0,0,0,0,1,0,0,0,0,0
Arsd,0,0,0,0,0,1,0,0,0,0,0
Arse,0,0,0,0,0,1,0,0,0,0,0
Arsf,0,0,0,0,0,1,0,0,0,0,0
Arsg,0,0,0,0,0,1,0,0,0,0,0
Arsi,0,0,0,0,0,1,0,0,0,0,0
Arsj,0,0,0,0,0,1,0,0,0,0,0
Arsk,0,0,0,0,0,1,0,0,0,0,0
B3galt6,0,0,1,0,0,0,0,0,0,0,0
B3gat3,0,0,0,1,0,0,0,0,0,0,0
B4galt7,0,0,1,0,0,0,0,0,0,0,0
Chpf,0,0,0,1,0,0,0,0,0,0,0
Chpf2,0,0,0,1,0,0,0,0,0,0,0
Chst1,0,0,0,0,1,0,0,0,0,0,0
Chst11,0,0,0,0,1,0,0,0,0,0,0
Chst12,0,0,0,0,1,0,0,0,0,0,0
Chst13,0,0,0,0,1,0,0,0,0,0,0
Chst14,0,0,0,0,1,0,0,0,0,0,0
Chst15,0,0,0,0,1,0,0,0,0,0,0
Chst2,0,0,0,0,1,0,0,0,0,0,0
Chst3,0,0,0,0,1,0,0,0,0,0,0
Chst4,0,0,0,0,1,0,0,0,0,0,0
Chst7,0,0,0,0,1,0,0,0,0,0,0
Chst9,0,0,0,0,1,0,0,0,0,0,0
Chsy1,0,0,1,0,0,0,0,0,0,0,0
Chsy3,0,0,1,0,0,0,0,0,0,0,0
Csgalnact1,0,0,1,0,0,0,0,0,0,0,0
Csgalnact2,0,0,1,0,0,0,0,0,0,0,0
Dse,0,0,0,0,0,0,0,0,1,0,0
Ext1,0,0,0,0,1,0,0,0,0,0,0
Ext2,0,0,0,0,1,0,0,0,0,0,0
Fam20a,0,0,0,0,0,0,0,1,0,0,0
Fam20b,0,0,0,0,0,0,0,1,0,0,0
Fam20c,0,0,0,0,0,0,0,1,0,0,0
Galns,0,0,0,0,0,1,0,0,0,0,0
Glb1,0,0,0,0,0,0,0,0,0,1,0
Gns,0,0,0,0,0,0,1,0,0,0,0
Gusb,0,0,0,0,0,0,0,0,0,1,0
Ids,0,0,0,0,0,1,0,0,0,0,0
Prg4,1,0,0,0,0,0,0,0,0,0,0
Sgsh,0,0,0,0,0,0,0,0,0,0,1
Sulf1,0,0,0,0,0,0,1,0,0,0,0
Sulf2,0,0,0,0,0,0,1,0,0,0,0
Sumf1,0,0,0,0,0,0,1,0,0,0,0
Sumf2,0,0,0,0,0,0,1,0,0,0,0
Ust,0,0,0,0,0,1,0,0,0,0,0
Xylt1,0,1,0,0,0,0,0,0,0,0,0
Xylt2,0,1,0,0,0,0,0,0,0,0,0
