Organism,Kingdom,Phylum,Order,Family,Genus,Species
Homo Sapiens,Animalia,Chordata,Primates,Hominidae,Homo,Homo sapiens
Pan Troglodytes,Animalia,Chordata,Primates,Hominidae,Pan,Pan troglodytes
Pan Paniscus,Animalia,Chordata,Primates,Hominidae,Pan,Pan paniscus
Gorilla Gorilla,Animalia,Chordata,Primates,Hominidae,Gorilla,Gorilla gorilla
Pongo Abelii,Animalia,Chordata,Primates,Hominidae,Pongo,Pongo abelii
Nomascus Leucogenys,Animalia,Chordata,Primates,Hylobatidae,Nomascus,Nomascus leucogenys
Colobus Angolensis Palliatus,Animalia,Chordata,Primates,Cercopithecidae,Colobus,Colobus angolensis
Theropithecus Gelada,Animalia,Chordata,Primates,Cercopithecidae,Theropithecus,Theropithecus gelada
Papio Anubis,Animalia,Chordata,Primates,Cercopithecidae,Papio,Papio anubis
Macaca Nemestrina,Animalia,Chordata,Primates,Cercopithecidae,Macaca,Macaca nemestrina
Macaca Fascicularis,Animalia,Chordata,Primates,Cercopithecidae,Macaca,Macaca fascicularis
Macaca Mulatta,Animalia,Chordata,Primates,Cercopithecidae,Macaca,Macaca mulatta
Mandrillus Leucophaeus,Animalia,Chordata,Primates,Cercopithecidae,Mandrillus,Mandrillus leucophaeus
Rhinopithecus Roxellana,Animalia,Chordata,Primates,Cercopithecidae,Rhinopithecus,Rhinopithecus roxellana
Cercocebus Atys,Animalia,Chordata,Primates,Cercopithecidae,Cercocebus,Cercocebus atys
Rhinopithecus Bieti,Animalia,Chordata,Primates,Cercopithecidae,Rhinopithecus,Rhinopithecus bieti
Saimiri Boliviensis Boliviensis,Animalia,Chordata,Primates,Cebidae,Saimiri,Saimiri boliviensis
Cebus Capucinus,Animalia,Chordata,Primates,Cebidae,Cebus,Cebus capucinus
Aotus Nancymaae,Animalia,Chordata,Primates,Aotidae,Aotus,Aotus nancymaae
Callithrix Jacchus,Animalia,Chordata,Primates,Callitrichidae,Callithrix,Callithrix jacchus
Oryctolagus Cuniculus,Animalia,Chordata,Lagomorpha,Leporidae,Oryctolagus,Oryctolagus cuniculus
Carlito Syrichta,Animalia,Chordata,Primates,Tarsiidae,Carlito,Carlito syrichta
Tupaia Belangeri,Animalia,Chordata,Scandentia,Tupaiidae,Tupaia,Tupaia belangeri
Ochotona Princeps,Animalia,Chordata,Lagomorpha,Ochotonidae,Ochotona,Ochotona princeps
Peromyscus Maniculatus Bairdii,Metazoa,Chordata,Rodentia,Cricetidae,Peromyscus,Peromyscus maniculatus
Piliocolobus Tephrosceles,Animalia,Chordata,Primates,Cercopithecidae,Piliocolobus,Piliocolobus tephrosceles
Cricetulus Griseus Chok1Gshd
Marmota Marmota Marmota,Animalia,Chordata,Rodentia,Sciuridae,Marmota,Marmota marmota
Heterocephalus Glaber Male
Microtus Ochrogaster,Animalia,Chordata,Rodentia,Cricetidae,Microtus,Microtus ochrogaster
Ursus Maritimus,Animalia,Chordata,Carnivora,Ursidae,Ursus,Ursus maritimus
Mesocricetus Auratus,Animalia,Chordata,Rodentia,Cricetidae,Mesocricetus,Mesocricetus auratus
Spermophilus Dauricus,Animalia,Chordata,Rodentia,Sciuridae,Spermophilus,Spermophilus dauricus
Jaculus Jaculus,Animalia,Chordata,Rodentia,Dipodidae,Jaculus,Jaculus jaculus
Chinchilla Lanigera,Animalia,Chordata,Rodentia,Chinchillidae,Chinchilla,Chinchilla lanigera
Nannospalax Galili,Animalia,Chordata,Rodentia,Muridae,Nannospalax,Nannospalax galili
Octodon Degus,Animalia,Chordata,Rodentia,Octodontidae,Octodon,Octodon degus
Castor Canadensis,Animalia,Chordata,Rodentia,Castoridae,Castor,Castor canadensis
Mus Musculus,Animalia,Chordata,Rodentia,Muridae,Mus,Mus musculus
Fukomys Damarensis,Metazoa,Chordata,Rodentia,Bathyergidae,Fukomys,Fukomys damarensis
Cricetulus Griseus Crigri
Prolemur Simus,Animalia,Chordata,Primates,Lemuridae,Prolemur,Prolemur simus
Heterocephalus Glaber Female
Panthera Tigris Altaica,Animalia,Chordata,Carnivora,Felidae,Panthera,Panthera tigris
Ictidomys Tridecemlineatus,Animalia,Chordata,Rodentia,Sciuridae,Ictidomys,Ictidomys tridecemlineatus
Neovison Vison,Animalia,Chordata,Carnivora,Mustelidae,Neovison,Neovison vison
Cavia Porcellus,Animalia,Chordata,Rodentia,Caviidae,Cavia,Cavia porcellus
Microcebus Murinus,Animalia,Chordata,Primates,Cheirogaleidae,Microcebus,Microcebus murinus
Equus Asinus Asinus,Animalia,Chordata,Perissodactyla,Equidae,Equus,Equus asinus
Mus Spicilegus,Animalia,Chordata,Rodentia,Muridae,Mus,Mus spicilegus
Panthera Pardus,Animalia,Chordata,Carnivora,Felidae,Panthera,Panthera pardus
Dipodomys Ordii,Animalia,Chordata,Rodentia,Heteromyidae,Dipodomys,Dipodomys ordii
Propithecus Coquereli,Animalia,Chordata,Primates,Indriidae,Propithecus,Propithecus coquereli
Cavia Aperea,Animalia,Chordata,Rodentia,Caviidae,Cavia,Cavia aperea
Rattus Norvegicus,Animalia,Chordata,Rodentia,Muridae,Rattus,Rattus norvegicus
Mus Spretus,Animalia,Chordata,Rodentia,Muridae,Mus,Mus spretus
Mus Pahari,Animalia,Chordata,Rodentia,Muridae,Mus,Mus pahari
Mus Caroli,Animalia,Chordata,Rodentia,Muridae,Mus,Mus caroli
Urocitellus Parryii,Animalia,Chordata,Rodentia,Sciuridae,Urocitellus,Urocitellus parryii
Meriones Unguiculatus,Animalia,Chordata,Rodentia,Muridae,Meriones,Meriones unguiculatus
Cricetulus Griseus Picr
Otolemur Garnettii,Animalia,Chordata,Primates,Galagidae,Otolemur,Otolemur garnettii
Loxodonta Africana,Animalia,Chordata,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana
Procavia Capensis,Animalia,Chordata,Hyracoidea,Procaviidae,Procavia,Procavia capensis
Equus Caballus,Animalia,Chordata,Perissodactyla,Equidae,Equus,Equus caballus
Mustela Putorius Furo,Animalia,Chordata,Carnivora,Mustelidae,Mustela,Mustela putorius
Felis Catus,Animalia,Chordata,Carnivora,Felidae,Felis,Felis catus
Sus Scrofa,Animalia,Chordata,Artiodactyla,Suidae,Sus,Sus scrofa
Bison Bison Bison,Animalia,Chordata,Artiodactyla,Bovidae,Bison,Bison bison
Pteropus Vampyrus,Animalia,Chordata,Chiroptera,Pteropodidae,Pteropus,Pteropus vampyrus
