organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,2.0,0.21,0.79,1.32,1.41,1.29,0.15,3.07,0.28,1.04,1.04,0.1,1,1.09,0.19,0.36,0.42,1.21,0.21,1.5,2.68,3.15,0.62,1,0.38,0.72,0.97,0.35,1.5,1.06,0.16,0.17,1.52,0.16,0.32,0.19,0.22,0.88,0.63,1,0.13,0.09,1.69,1.6,1.95,1,1.13,1,0.74,0.65,0.43
mus_musculus,1.85,0.19,1.11,1.4,1.48,0.25,1.35,1,0.3,0.3,1.09,0.11,1,1.15,0.17,0.33,1.75,1.23,1,1.4,2.3,0.18,0.65,1,1.49,0.65,0.98,2.2,1.14,0.42,0.17,0.17,1.58,0.16,0.31,0.18,0.18,0.97,0.78,1,0.16,0.1,1.8,0.71,1.8,0.41,1,1,0.77,1,0.38
ornithorhynchus_anatinus,2.24,1,1.01,1,0.7,4.56,0.16,0.21,1,1,1,0.13,1,1.45,1,1.07,0.51,0.18,0.2,1.13,1,0.14,1,1,1,0.32,1.01,1.99,1.31,0.17,0.3,1,1,0.15,1,0.15,0.13,0.24,0.75,1,0.09,0.13,0.38,0.82,1,0.72,1,1,1,1,0.85
danio_rerio,2.24,1.81,0.72,0.93,0.28,2.29,1.07,0.78,1.98,1.32,1.25,0.06,1,0.83,0.08,0.3,1.21,0.21,1.45,0.19,2.23,0.34,3.23,1,0.2,0.45,1.21,1.58,1.28,2.4,1.54,0.76,1.34,0.1,1.93,2.75,1.9,2.62,0.1,1,0.13,0.04,0.59,1.83,2.37,0.84,1.87,1,0.16,0.43,0.81
oryzias_latipes_hsok,2.16,0.27,0.53,2.03,0.15,0.27,1.24,1,1.92,1,1.16,0.09,1,1.07,0.05,0.37,1.2,2.7,0.18,0.23,0.11,0.59,0.1,1,0.21,0.58,0.64,1.3,2.03,2.74,0.23,0.13,2.03,0.09,1,0.18,1.52,0.2,0.11,1,0.16,0.05,0.63,0.26,1,0.81,1.67,1,0.1,0.51,0.33
takifugu_rubripes,0.2,2.88,0.23,0.58,0.16,1.55,1.21,0.18,1.49,1,1.2,0.08,1,0.48,3.52,1,1.06,2.88,0.17,1.4,2.26,2.02,2.56,1,1.69,0.5,1.94,2.14,0.12,2.93,0.21,0.12,1.87,0.08,2.19,4.35,1.83,0.19,0.08,1,1.25,0.06,1.34,2.41,1,0.83,1.64,1,2.12,0.49,0.97
anas_platyrhynchos_platyrhynchos,1.94,2.02,1.66,0.62,1.49,0.19,0.17,3.2,0.88,2.2,0.5,0.12,1,1.55,1.91,0.31,0.38,0.23,1.35,0.43,0.17,1.77,0.37,1,2.2,1.23,0.92,2.01,0.25,1.59,0.18,0.11,1.76,1.75,1.44,0.22,0.21,1.91,0.83,1,0.09,0.08,3.27,0.78,2.41,2.22,1,1,0.17,1,0.47
gallus_gallus,2.48,0.23,0.84,1.82,1.43,0.17,0.17,1.28,2.17,1,1.74,0.1,1,1.51,0.11,0.35,1.33,0.17,2.47,1.3,0.15,1.92,0.37,1,2.47,0.8,0.96,1.82,0.24,1.74,0.17,0.11,1.76,0.18,0.4,0.21,0.18,2.23,0.81,1,0.09,0.06,3.64,0.83,0.15,2.23,1,1,0.19,1,1.58
chrysemys_picta_bellii,3.44,2.46,1.29,0.97,1.34,4.04,0.15,0.24,1.01,2.13,1.24,0.12,1,0.74,3.9,0.33,1.38,2.17,0.17,1.14,0.12,0.13,0.43,1,2.56,0.63,0.46,2.13,0.29,1.66,0.18,0.11,1.76,0.16,2.67,0.18,2.38,0.78,0.77,1,0.08,0.07,1.78,0.48,1.32,0.44,1.3,1,1.61,0.34,0.43
crocodylus_porosus,4.3,0.31,0.74,1,1.28,1.34,0.15,0.22,0.81,0.27,0.66,0.11,1,1.11,1.9,0.29,0.33,1.57,2.15,1.31,1.94,3.43,0.45,1,1.57,1.0,1.71,2.68,0.19,1.44,0.17,0.12,1.9,0.17,2.75,1,1.76,2.59,0.85,1,0.08,0.07,0.48,0.51,0.65,0.49,1,1,1,1,0.95
notechis_scutatus,1.16,1.24,1.76,1.98,0.34,2.85,1.51,0.23,1.42,0.31,0.97,0.08,1,1.84,2.57,0.28,1,0.23,2.15,1.32,3.05,3.08,0.42,1,1.47,1.74,2.75,2.93,1,0.16,0.15,0.14,3.3,0.16,0.73,1,0.18,2.51,1.18,1,0.27,1,0.77,0.52,2.28,0.4,1,1,1.61,1.58,0.36
anolis_carolinensis,1.93,2.88,1.74,1.89,0.34,1.21,0.15,0.21,0.65,1,0.7,1,1,0.52,3.13,0.31,1.77,0.21,0.2,1.28,0.14,2.21,2.56,1,1.65,1.39,1.62,1.04,1,1.45,0.17,1.59,1.7,0.11,1.81,0.14,0.21,2.46,0.74,1,0.01,0.06,0.71,0.45,2.19,0.4,0.25,1,1.52,2.56,0.43
xenopus_tropicalis,0.18,2.41,1.13,0.18,1.5,1.98,1.69,0.23,1.1,1.73,0.69,0.06,1,2.03,0.1,0.37,1.18,2.03,0.24,1.16,2.11,2.09,0.29,1,1.05,0.54,3.66,0.2,1.89,1,0.18,0.17,1.2,0.15,1.44,1.89,2.85,1.93,0.8,1,0.07,0.12,1.6,0.21,1.23,0.8,1,1,3.13,1,1.07
callorhinchus_milii,3.29,0.25,1.02,1.24,0.36,0.22,1.45,0.42,1.64,0.19,1.45,0.07,1,1.49,0.16,0.38,0.88,0.26,0.25,3.55,1.76,2.1,0.66,1,0.61,0.46,1.46,2.34,1.47,2.42,0.24,0.14,0.28,1.9,0.55,2.13,2.41,0.4,0.12,1,0.09,0.07,0.22,2.67,0.13,0.46,0.36,1,1.97,1.82,1.66
latimeria_chalumnae,0.42,3.83,0.76,0.38,0.33,2.6,0.14,0.93,1.77,0.64,0.74,0.13,1,1.07,2.7,0.14,1.25,2.51,0.16,0.2,0.16,2.48,0.85,1,1.3,0.43,3.52,0.17,0.22,2.41,0.16,0.11,0.25,1,3.63,4.11,2.31,1.26,0.16,1,0.07,0.09,2.03,0.86,0.53,0.42,0.57,1,2.39,2.1,2.73
petromyzon_marinus,1,0.43,1,0.41,1.39,1,1,0.76,1,1,1,1,1,0.64,1,1,1,1,1,1.29,1.48,1.26,1,1,0.48,1.16,1.89,0.67,1.4,1,0.5,0.43,1,0.08,1.24,1.92,0.14,0.57,1,1,1,0.23,1,1.6,1.01,1,1.6,1,1,0.26,1.47
eptatretus_burgeri,1.16,2.23,0.11,0.92,1.96,1.64,1,2.99,0.96,0.45,0.31,0.12,1,1.34,1,1,1.81,0.49,1,1.2,0.98,1,1,1,1,0.9,0.83,1,1.06,1,1.14,0.93,0.65,0.23,1.46,0.43,0.22,1.73,1,1,1,0.14,1.11,1.74,1,1,1.8,1,1,0.4,0.35
ciona_intestinalis,1,0.87,1.58,1,0.29,2.09,1.13,1,0.44,0.68,0.76,1,1,1,1.18,0.37,1.25,1,1,1,0.61,1.39,0.65,1,0.76,1,2.04,0.89,0.66,1,1,1.06,1,1.52,1,1.59,1.93,0.86,0.69,1,1,1,1.27,1,1,1,1,1,0.24,1,1.25
drosophila_melanogaster,1.3,1.75,1,0.91,0.38,0.51,1.94,0.9,0.84,1.35,0.82,1.1,1,1,1.02,0.8,0.35,0.38,1,1,1.18,2.15,1.18,1,0.75,1,1.11,0.85,1.0,1,1,1.29,1,1.39,1,0.85,1.57,1.02,1.69,1,1,1.46,0.67,1,1,0.68,1.83,1,1.61,1.76,1.02
caenorhabditis_elegans,1.63,1,1,0.82,1,1,1,0.0,1,1.55,1,1,1,1,1,1,1,0.41,1.01,1,0.6,1,0.75,1,1,1,1.03,1.09,1.01,1,1,1.35,1,1,1,0.95,1,0.78,1,1,1,1,1,1,1.28,1,0.63,1,0.71,1,1
