organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,2.03,0.16,1.19,0.28,0.25,0.33,0.12,1.68,0.76,1,0.66,0.04,1.2,0.66,2.66,0.26,2.42,1.48,0.17,0.13,0.07,3.2,0.1,1,1.24,0.52,1.44,1.5,1,1.72,0.11,1.5,0.2,0.06,0.29,0.13,1.75,0.1,0.09,1.48,0.05,0.05,0.97,0.07,2.12,2.44,0.55,1.76,1.49,1.23,2.42
mus_musculus,2.26,3.29,0.86,2.29,0.14,0.29,1.01,1,0.74,1,0.68,0.04,1.01,0.57,2.58,0.08,0.22,1.71,1,0.14,0.08,3.54,0.11,1,0.13,0.52,1.72,1.5,1,1.48,0.11,1.34,0.21,0.04,0.29,0.16,2.04,0.08,0.09,1.66,0.05,0.05,0.91,0.1,0.15,2.62,1,1.57,1.58,1,2.62
ornithorhynchus_anatinus,0.41,1,0.88,1,1.89,2.33,0.11,0.26,1,1,1,0.03,1.08,0.83,1,1.04,2.35,0.11,0.14,0.29,1,0.07,1,1,1,1.11,0.93,0.75,1,0.15,0.2,1,1,0.07,1,0.13,0.11,3.1,0.09,1.01,0.04,0.07,0.9,1,1,2.66,1,0.15,1,1,2.09
danio_rerio,0.13,1.3,1.48,1.75,0.16,0.24,0.96,0.21,0.81,1,0.82,0.09,1,0.37,2.69,0.14,1.63,0.23,0.2,1.95,0.13,0.11,0.45,1,2.47,2.18,1.74,1.15,1,1.95,1.78,2.15,1.86,0.08,0.29,0.12,1.28,0.14,0.11,1.98,0.1,0.07,0.21,1.47,0.15,0.86,0.35,1,1.12,0.32,2.13
oryzias_latipes_hsok,3.34,2.53,1.33,1.48,1.56,1.44,0.13,1,0.75,1,0.35,1,1,0.94,2.35,0.37,1.83,2.3,2.37,3.28,0.16,1,0.79,1,1.44,1.22,1,0.9,1,2.39,0.24,0.18,1.52,0.09,1,0.18,0.28,2.91,0.11,1.03,0.11,0.08,0.27,0.6,1,0.36,0.44,1,0.3,0.36,1.89
takifugu_rubripes,2.42,1.28,0.93,1.97,1.62,4.01,1.31,1,0.48,1,1.06,0.1,1,0.37,0.19,1,1.79,1.24,2.85,0.04,4.17,2.24,3.39,1,1.75,1.12,1.65,1.13,1,2.51,0.25,0.23,1.4,0.05,1.38,1,0.22,3.05,0.13,1.03,1.39,0.07,0.74,0.63,1,0.37,0.52,1,1.4,0.39,2.05
lepisosteus_oculatus,1.93,2.88,1.74,1.89,0.34,1.21,0.15,0.21,0.65,1,0.7,1,1,0.52,3.13,0.31,1.77,0.21,0.2,1.28,0.14,2.21,2.56,1,1.65,1.39,1.62,1.04,1,1.45,0.17,1.59,1.7,0.11,1.81,0.14,0.21,2.46,0.74,1,0.01,0.06,0.71,0.45,2.19,0.4,0.25,1,1.52,2.56,0.43
anas_platyrhynchos_platyrhynchos,3.45,2.93,1.25,1.92,2.78,1.8,0.12,0.25,0.96,1,1.62,0.03,1,0.52,2.63,0.09,0.08,1.93,2.76,0.28,0.07,4.14,0.07,1,0.15,1.56,3.51,1.0,1,3.03,0.11,0.12,0.16,2.04,0.23,0.11,0.23,0.17,0.07,1,0.04,0.05,0.86,0.1,2.43,2.47,1,0.29,3.72,1,2.34
gallus_gallus,1.91,2.34,0.76,0.36,2.35,2.07,0.14,0.25,1.07,1,0.46,0.02,1,0.68,1.63,0.54,1.96,0.11,2.66,0.12,0.08,2.87,0.09,1,0.14,3.85,3.41,0.69,1,2.7,0.11,1.32,0.17,0.04,0.26,0.08,0.25,0.12,0.07,1,0.04,0.06,0.82,0.1,0.2,0.25,1,0.27,1.5,1,0.16
chrysemys_picta_bellii,0.17,2.62,1.28,0.41,2.78,0.22,0.13,0.26,1.4,1,0.18,0.02,1,0.71,1.72,0.08,2.83,1.9,0.13,0.15,0.05,2.65,0.12,1,0.09,0.17,3.97,0.89,1,2.99,0.11,1.31,0.16,0.04,0.83,0.07,1.76,0.19,0.07,0.13,0.06,0.06,0.81,0.13,0.46,0.31,1.38,0.29,1.62,0.22,3.75
