organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,1,3.83,0.97,1,1,0.32,0.82,1.54,1,1,0.66,1,1.21,1,1,1,1.27,1,0.94,1,1.03,1.19,1.01,1,1,1,1.34,0.72,0.79,1,0.37,1.03,1,1.95,1,1.07,1.76,1.08,0.5,2.7,1,1.84,1.08,1,1,0.87,0.51,1,0.43,1.32,1.16
danio_rerio,1,3.57,0.98,1,0.2,0.91,0.72,1.0,1,2.22,0.7,1,1,1,0.96,1,1.05,1,1.88,1,1.3,1,1.02,1,0.68,1,1.72,1.11,1.6,1,0.42,1,1,2.14,1.46,1.53,1.93,0.83,1,1.62,1,0.18,0.72,1,1,0.97,1.44,1,1,1,1.02
anas_platyrhynchos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
notechis_scutatus,1,1.58,0.81,1,0.14,1.74,0.77,0.92,1,1,1,1,1.16,1,1.14,1,0.22,1,0.53,1,1.01,1.63,0.8,1,0.68,1,0.92,1.3,1,1,0.38,0.63,1,1.84,1.44,1,0.33,1.11,0.55,1,1,2.03,1.0,1,1,1.03,1,1,0.4,1,1
silurana_tropicalis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
callorhinchus_milli,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
latimeria_chalumnae,1,3.59,1.04,1,1,2.15,1,1,1.54,0.39,0.28,0.19,1,1,1.59,0.57,0.97,1,0.42,1,1.33,1.4,1.59,1,1.5,1,0.58,1.04,0.64,1,0.36,0.98,1,1,2.19,1,0.27,1.12,0.97,0.12,1,1.76,1.96,1,1,0.87,1,1,1,0.84,1.13
petromyzon_marinus,1,0.3,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1.67,1,1,2.47,1,0.21,0.95,0.72,1,1,1,1,1,1,0.99,1.9,1,1,1,1,2.54,1,1,1,1,inf,1,1,1.64,0.97
eptatretus_burgeri,1,0.13,1.22,1,0.19,1.87,1,1.5,0.97,1.31,1.66,0.23,1,1,1,1,0.24,1,1,1,0.51,1,1,1,1,1,0.48,1,0.97,1,0.31,1,1,1.01,2.63,1.72,0.32,1,1,2.16,1,0.19,0.77,1,1,1,1.66,1,1,1,0.0
ciona_intestinalis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
sophophora_melanogaster,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
caenorhabditis_elegans,1,1,1,1,1,1,1,0.24,1,0.29,1,1,1,1,1,0.24,1,1,1.2,1,0.54,1,1.3,1,1,1,1.39,0.94,0.64,1,1,0.24,1,1,1,1,1,0.7,1,1,1,1,1,1,1,1.13,1.33,1,0.64,1.19,0.94
