organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,0.7,1,1.12,1,1.51,2.67,0.1,1.73,1,1,1,0.04,2.71,1.02,1,0.48,1.57,0.13,0.17,0.41,1,0.08,1,1,1,1.02,0.64,1.79,0.11,1.59,0.22,1,1,0.17,1,0.23,0.15,2.25,0.65,0.22,0.07,0.09,0.31,0.04,1,0.22,1,0.08,1,1,2.13
mus_musculus,0.52,1,1.09,1,1.78,1.8,1.11,1,1,1,1,0.04,2.49,0.81,1,0.87,1.91,0.13,1,0.36,1,0.08,1,1,1,0.98,0.53,1.65,0.12,0.3,0.21,1,1,0.13,1,0.23,0.11,2.06,0.72,0.19,0.06,0.12,0.28,0.06,1,0.19,1,0.08,1,1,1.89
danio_rerio,1.01,1,1.26,1,1.17,0.19,1.16,0.17,1,1,1,0.13,1,0.59,1,0.49,0.13,0.19,1.38,1.3,1,3.31,1,1,1,3.68,0.96,0.23,1.61,1.77,0.25,1,1,1,1,0.23,0.17,2.04,0.13,0.61,0.13,0.1,0.73,1.04,1,2.77,1,1,1,1,1.5
oryzias_latipes_hsok,1.18,1,0.74,1,0.48,4.6,0.15,1,1,1,1,0.15,1,0.87,1,1.03,0.31,0.18,0.21,1.76,1,0.39,1,1,1,1.01,1.39,0.26,1.41,0.26,0.25,1,1,0.12,1,0.22,1,0.24,0.12,1.08,0.12,0.11,0.73,1.0,1,1.56,1,1,1,1,1.59
takifugu_rubripes,0.94,1,1.03,1,0.44,4.62,1.48,1,1,1,1,0.17,1,0.56,1,1,0.27,0.2,0.24,0.32,1,0.16,1,1,1,0.66,1.04,0.25,1.32,0.18,0.21,1,1,1,1,1,0.18,0.27,0.13,1.05,1.36,0.1,0.74,0.95,1,1.51,1,1,1,1,1.38
lepisosteus_oculatus,2.24,1,1.01,1,0.7,4.56,0.16,0.21,1,1,1,0.13,1,1.45,1,1.07,0.51,0.18,0.2,1.13,1,0.14,1,1,1,0.32,1.01,1.99,1.31,0.17,0.3,1,1,0.15,1,0.15,0.13,0.24,0.75,1,0.09,0.13,0.38,0.82,1,0.72,1,1,1,1,0.85
anas_platyrhynchos_platyrhynchos,0.39,1,0.85,1,1.71,0.13,0.13,0.23,1,1,1,0.04,1,0.82,1,0.95,0.11,0.16,2.11,0.4,1,3.67,1,1,1,3.08,1.27,0.14,0.23,0.17,0.24,1,1,0.14,1,0.19,0.12,2.52,0.09,1,0.04,0.06,0.38,0.05,1,0.2,1,0.11,1,1,1.36
gallus_gallus,0.73,1,1.25,1,1.98,0.14,0.12,0.23,1,1,1,0.03,1,0.87,1,0.3,1.73,0.11,2.37,0.35,1,4.22,1,1,1,0.14,1.25,0.21,0.25,0.19,0.25,1,1,0.14,1,0.19,0.15,1.42,0.1,1,0.05,0.05,0.3,0.06,1,1.61,1,0.13,1,1,1.55
chrysemys_picta_bellii,1.01,1,0.65,1,2.78,0.17,0.13,0.29,1,1,1,0.04,1,0.57,1,0.97,0.22,0.13,0.11,0.27,1,0.09,1,1,1,1.24,1.3,0.12,0.27,0.14,0.21,1,1,0.17,1,0.19,0.12,2.68,0.1,0.99,0.04,0.05,0.24,0.04,1,0.18,1,0.14,1,1,1.52
crocodylus_porosus,0.31,1,0.41,1,2.18,3.55,0.1,0.21,1,1,1,0.03,2.3,0.93,1,0.93,0.16,0.16,2.42,0.25,1,3.37,1,1,1,3.83,1.1,0.12,0.39,0.31,0.2,1,1,0.19,1,1,0.14,2.89,0.08,1,0.05,0.09,0.94,0.04,1,2.43,1,0.11,1,1,1.38
notechis_scutatus,0.87,1,1.23,1,2.0,1.28,1.58,0.22,1,1,1,0.04,3.62,0.4,1,1.01,1,0.1,2.62,0.32,1,0.09,1,1,1,3.53,1.49,0.29,1,0.09,0.19,1,1,0.13,1,1,2.65,3.21,1.28,0.71,0.31,0.07,1.18,1,1,0.2,1,0.14,1,1,1.55
