organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
mus_musculus,0.14,0.12,1.0,0.32,0.33,0.25,1.37,1,0.18,1.55,0.22,0.04,0.32,0.43,0.06,0.32,2.63,0.22,1,0.09,0.07,0.08,0.14,1,1.47,1.66,0.26,2.68,0.09,2.33,0.08,0.07,0.22,0.07,0.12,0.17,0.18,0.09,0.14,0.05,0.06,0.06,0.17,0.13,0.13,0.27,1,0.26,0.07,1,0.11
ornithorhynchus_anatinus,0.7,1,1.12,1,1.51,2.67,0.1,1.73,1,1,1,0.04,2.71,1.02,1,0.48,1.57,0.13,0.17,0.41,1,0.08,1,1,1,1.02,0.64,1.79,0.11,1.59,0.22,1,1,0.17,1,0.23,0.15,2.25,0.65,0.22,0.07,0.09,0.31,0.04,1,0.22,1,0.08,1,1,2.13
danio_rerio,1.89,2.15,0.95,0.72,0.31,0.25,1.53,1.49,2.46,1.57,0.42,0.14,1,0.82,0.2,0.37,1.71,0.2,1.31,1.88,1.81,2.71,2.91,1,0.17,0.51,2.13,1.51,1.29,1.07,1.58,0.89,0.34,1.63,1.56,2.91,1.89,0.35,0.12,0.56,0.14,0.07,0.65,0.69,0.16,0.39,0.77,1,0.79,1.17,1.99
oryzias_latipes_hsok,0.28,0.36,0.52,1.98,0.28,0.22,0.15,1,0.42,1,0.45,0.13,1,0.88,0.2,0.43,1.6,0.28,0.23,2.84,0.14,0.34,0.43,2.11,1.38,0.44,0.59,1.34,1.55,0.5,0.27,0.18,1.31,1.73,1,1.56,1.53,1.03,1,1.19,0.14,0.09,0.79,0.47,1,2.54,0.68,1,0.47,1.06,1.28
takifugu_rubripes,0.3,0.8,0.52,0.76,0.31,1.32,1.63,0.23,0.33,1,1.14,0.14,1,0.83,1.36,1,1.84,1.93,0.24,0.23,1.96,2.97,0.15,0.26,1.41,0.82,1.32,0.31,1.25,1.85,0.27,0.19,1.25,1.8,0.4,1.68,1.92,0.94,0.1,1.11,1.36,0.08,0.81,0.51,1,2.46,0.64,1,0.73,1.24,1.8
lepisosteus_oculatus,2.0,0.21,0.79,1.32,1.41,1.29,0.15,3.07,0.28,1.04,1.04,0.1,1,1.09,0.19,0.36,0.42,1.21,0.21,1.5,2.68,3.15,0.62,1,0.38,0.72,0.97,0.35,1.5,1.06,0.16,0.17,1.52,0.16,0.32,0.19,0.22,0.88,0.63,1,0.13,0.09,1.69,1.6,1.95,1,1.13,1,0.74,0.65,0.43
anas_platyrhynchos_platyrhynchos,1.76,0.25,0.73,0.69,1.51,2.79,0.13,1.54,0.3,1.75,1.89,0.05,1,0.89,2.91,0.23,0.15,1.76,0.17,0.22,2.47,2.52,0.12,1,0.95,1.41,1.62,0.18,0.33,1.59,0.1,0.15,0.22,2.75,1.61,0.21,2.11,0.33,0.09,1,0.06,0.04,0.28,0.09,2.74,0.24,1,2.41,2.31,1,0.29
gallus_gallus,0.15,0.23,1.04,1.65,1.49,2.43,0.12,3.67,0.9,1,2.29,0.04,1,0.74,2.5,0.1,1.7,0.16,2.81,0.14,0.08,2.56,0.12,1,0.25,2.16,1.65,2.64,1.13,1.57,0.11,0.17,0.19,2.96,1.4,1.49,2.05,0.13,0.08,1,0.07,0.04,1.15,0.1,1.85,2.63,1,2.14,1.04,1,2.41
chrysemys_picta_bellii,0.13,0.19,0.84,1.05,2.19,2.31,0.13,4.28,1.53,1.67,0.78,0.05,1,0.97,1.81,0.23,1.89,0.18,0.14,0.12,3.78,0.15,0.15,1,1.19,4.08,2.56,1.77,0.24,1.42,0.11,0.12,0.2,2.51,1.45,0.33,0.22,0.17,0.09,1.8,0.06,0.04,0.21,0.09,0.29,0.23,0.67,2.11,0.5,1.0,0.26
crocodylus_porosus,0.11,1.61,0.41,1,2.58,0.18,0.1,4.06,1.24,1.35,0.14,0.04,1.31,0.7,1.84,0.2,0.2,2.46,3.07,0.13,2.96,2.82,0.09,1,1.13,0.17,2.93,4.24,0.24,1.21,0.12,0.13,0.19,3.02,1.64,1,1.99,0.13,0.69,1,0.06,0.05,0.85,0.08,0.87,1.71,1,1.84,1,1,0.25
