organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,0.3,0.8,0.52,0.76,0.31,1.32,1.63,0.23,0.33,1,1.14,0.14,1,0.83,1.36,1,1.84,1.93,0.24,0.23,1.96,2.97,0.15,0.26,1.41,0.82,1.32,0.31,1.25,1.85,0.27,0.19,1.25,1.8,0.4,1.68,1.92,0.94,0.1,1.11,1.36,0.08,0.81,0.51,1,2.46,0.64,1,0.73,1.24,1.8
mus_musculus,0.28,0.88,0.58,0.59,0.33,0.23,1.32,1,0.31,1,1.14,0.14,1,0.75,1.49,1,1.85,1.87,1,0.21,1.8,2.79,0.15,1,1.64,0.78,1.21,0.28,1.3,2.02,0.27,0.18,1.28,1.81,0.38,1.5,1.94,0.98,0.11,1.24,1.42,0.1,0.8,2.16,1,2.68,1,1,0.73,1,1.93
ornithorhynchus_anatinus,0.94,1,1.03,1,0.44,4.62,1.48,1,1,1,1,0.17,1,0.56,1,1,0.27,0.2,0.24,0.32,1,0.16,1,1,1,0.66,1.04,0.25,1.32,0.18,0.21,1,1,1,1,1,0.18,0.27,0.13,1.05,1.36,0.1,0.74,0.95,1,1.51,1,1,1,1,1.38
danio_rerio,1.96,0.7,2.08,1.13,0.3,1.13,0.36,0.84,0.16,1,1.06,0.07,1,1.22,0.06,1,1.38,0.25,1.24,0.17,0.12,0.17,2.82,1,1.79,1.1,0.48,1.5,1.27,1.73,0.2,2.57,2.18,0.11,2.88,2.76,0.26,2.53,0.1,0.19,1.25,0.03,0.57,1.63,1,2.73,0.38,1,1.53,0.38,1.91
oryzias_latipes_hsok,0.19,0.67,1.98,3.7,0.15,1.81,1.03,1,1.86,1,0.29,0.07,1,1.64,3.09,1,0.2,1.74,0.13,0.19,2.19,0.69,2.67,2.46,1.71,0.42,0.28,1.81,3.39,0.23,0.1,0.14,1.66,4.0,1,4.07,0.27,0.19,0.09,0.14,1.59,0.03,0.62,0.23,1,0.21,0.33,1,0.14,0.33,0.19
lepisosteus_oculatus,0.2,2.88,0.23,0.58,0.16,1.55,1.21,0.18,1.49,1,1.2,0.08,1,0.48,3.52,1,1.06,2.88,0.17,1.4,2.26,2.02,2.56,1,1.69,0.5,1.94,2.14,0.12,2.93,0.21,0.12,1.87,0.08,2.19,4.35,1.83,0.19,0.08,1,1.25,0.06,1.34,2.41,1,0.83,1.64,1,2.12,0.49,0.97
anas_platyrhynchos_platyrhynchos,2.07,1.27,0.93,1.29,0.28,1.41,1.54,0.18,0.81,1,0.88,0.15,1,0.78,1.45,1,0.16,0.29,0.2,0.37,2.05,0.13,0.15,1,1.29,0.77,0.48,2.0,0.29,2.87,0.26,0.14,1.38,2.2,1.02,1,2.3,2.02,0.12,1,1.15,0.07,1.97,0.63,1,2.16,1,1,2.19,1,1.51
gallus_gallus,0.15,0.76,1.32,1.38,0.27,1.47,1.5,0.2,1.73,1,1.42,0.13,1,0.61,0.22,1,1.41,0.23,1.69,0.22,3.27,2.31,0.15,1,1.22,0.76,0.45,0.27,0.25,2.85,0.27,0.14,1.47,2.06,1.05,2.07,2.33,2.79,0.13,1,1.28,0.06,0.75,0.69,1,0.4,1,1,1.23,1,1.94
chrysemys_picta_bellii,2.06,1.28,0.69,0.31,1.43,0.21,1.89,0.17,1.1,1,0.72,0.14,1,0.51,3.23,1,1.48,1.29,1,0.15,2.14,2.19,0.16,1,1.52,1.35,1.45,1.99,0.19,2.8,0.25,0.14,1.39,0.12,1.55,2.03,2.05,0.94,0.11,0.87,1.22,0.07,1.18,0.63,1,0.27,0.9,1,0.31,0.44,0.27
crocodylus_porosus,0.08,0.65,1.37,1,1.43,4.28,1.62,0.18,0.85,1,1.07,0.13,1,0.76,1.49,1,0.17,1.98,1.82,0.18,2.02,1.71,0.17,1,1.62,1.06,0.43,0.16,0.24,0.4,0.23,0.16,1.32,0.12,1.97,1,1.93,3.18,0.11,1,1.23,0.07,0.28,0.65,1,2.38,1,1,1,1,2.64
