organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,1.89,2.15,0.95,0.72,0.31,0.25,1.53,1.49,2.46,1.57,0.42,0.14,1,0.82,0.2,0.37,1.71,0.2,1.31,1.88,1.81,2.71,2.91,1,0.17,0.51,2.13,1.51,1.29,1.07,1.58,0.89,0.34,1.63,1.56,2.91,1.89,0.35,0.12,0.56,0.14,0.07,0.65,0.69,0.16,0.39,0.77,1,0.79,1.17,1.99
danio_rerio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
anas_platyrhynchos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
notechis_scutatus,0.81,1.39,1.17,1.67,0.19,1.38,2.1,0.23,0.33,1.2,0.85,0.06,1,0.45,2.86,0.14,0.11,0.19,0.23,1.74,1.78,2.67,0.49,1,2.26,0.45,0.24,0.41,1,4.64,0.24,0.4,2.69,0.14,2.03,1,0.32,0.33,0.14,1.7,0.3,0.08,1.27,1.46,0.03,2.1,1,1,1.55,0.75,2.14
silurana_tropicalis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
callorhinchus_milli,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
latimeria_chalumnae,0.29,2.24,1.36,2.38,3.43,0.32,1.12,0.87,1.18,0.08,0.85,0.12,1,0.7,2.33,0.36,1.59,0.14,0.76,0.12,2.81,0.13,0.84,1,2.11,0.64,0.23,0.18,2.03,1.44,1.61,0.87,1.51,1,3.34,2.52,2.12,0.42,0.24,1.69,0.12,0.07,0.66,0.9,0.61,0.86,1.02,1,2.06,1.13,1.79
petromyzon_marinus,1,0.18,1,1.55,0.21,1,1,0.69,1,1,1,1,1,0.6,1,1,1,1,1,1,1.29,2.57,1,1,2.03,1.08,2.15,1.74,0.2,1,0.5,0.71,1,0.12,1.42,0.21,2.91,0.65,1,2.97,1,0.13,1,0.65,0.73,1,0.36,1,1,0.36,0.74
eptatretus_burgeri,1.96,2.87,1.48,2.04,2.18,0.36,1,1.0,1.15,2.41,0.87,0.11,1,1.06,1,1,1.77,1,1,0.42,1.26,1,1,1,1,1.14,1.43,1,0.37,2.56,1.59,1.89,0.82,0.29,2.07,0.45,1.82,0.28,1,0.63,1,0.13,0.53,0.97,1,1,0.66,1,1,1.28,0.42
ciona_intestinalis,1,3.57,0.98,1,0.2,0.91,0.72,1.0,1,2.22,0.7,1,1,1,0.96,1,1.05,1,1.88,1,1.3,1,1.02,1,0.68,1,1.72,1.11,1.6,1,0.42,1,1,2.14,1.46,1.53,1.93,0.83,1,1.62,1,0.18,0.72,1,1,0.97,1.44,1,1,1,1.02
sophophora_melanogaster,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
caenorhabditis_elegans,0.43,1,1,1.66,1,1,1,1.31,1,1.21,1,1,1,1,1,1,1.23,1,1,1,1.34,1,1.09,1,1,1,0.69,0.96,1.26,1,1,1,1,1,1,0.9,1,0.79,1,1,1,1,1,1,1.2,1.07,1.29,1,0.92,1.09,0.58
