organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,1.57,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1.92,1.8,1.42,1,1.47,1,1.0,1,1,1,0.52,0.94,0.69,1,1,0.96,1,1,1,0.67,1,1.05,1,1,1,1,1,1,1.26,0.7,0.87,1,1,0.81,0.99
danio_rerio,0.43,1,1,1.66,1,1,1,1.31,1,1.21,1,1,1,1,1,1,1.23,1,1,1,1.34,1,1.09,1,1,1,0.69,0.96,1.26,1,1,1,1,1,1,0.9,1,0.79,1,1,1,1,1,1,1.2,1.07,1.29,1,0.92,1.09,0.58
anas_platyrhynchos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
notechis_scutatus,0.75,1,1,0.77,1,1,1,1.18,1,1.14,1,1,1,1,1,0.69,0.26,0.97,1.04,1,1.44,1,0.74,1,1,1,1.11,0.72,1,1,1,0.52,1,1,1,1,1,1.01,1,1,1,1,1,1,1.25,1.05,1,1,1.1,1,0.91
silurana_tropicalis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
callorhinchus_milli,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
latimeria_chalumnae,0.99,1,1,1.2,1,1,1,0.46,1,0.3,1,1,1,1,1,0.58,1.14,0.4,1,1,1.23,1,0.6,1,1,1,1.18,1.07,1,1,1,0.93,1,1,1,0.19,1,1.18,1,1,1,1,1,1,0.75,0.72,1,1,1,1,1.43
petromyzon_marinus,1,1,1,1.81,1,1,1,0.53,1,1,1,1,1,1,1,1,1,1,1,1,0.16,1,1,1,1,1,1,1,1.15,1,1,0.57,1,1,1,0.56,1,0.84,1,1,1,1,1,1,0.0,1,1,1,1,1.02,0.6
eptatretus_burgeri,0.1,1,1,0.86,1,1,1,1.59,1,1.68,1,1,1,1,1,1,1.61,1.06,1,1,0.67,1,1,1,1,1,1.31,1,1.85,1,1,0.7,1,1,1,1.19,1,0.6,1,1,1,1,1,1,1,1,0.91,1,1,1.45,1.34
ciona_intestinalis,1,1,1,1,1,1,1,0.24,1,0.29,1,1,1,1,1,0.24,1,1,1.2,1,0.54,1,1.3,1,1,1,1.39,0.94,0.64,1,1,0.24,1,1,1,1,1,0.7,1,1,1,1,1,1,1,1.13,1.33,1,0.64,1.19,0.94
sophophora_melanogaster,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
caenorhabditis_elegans,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
