organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,0.11,1.61,0.41,1,2.58,0.18,0.1,4.06,1.24,1.35,0.14,0.04,1.31,0.7,1.84,0.2,0.2,2.46,3.07,0.13,2.96,2.82,0.09,1,1.13,0.17,2.93,4.24,0.24,1.21,0.12,0.13,0.19,3.02,1.64,1,1.99,0.13,0.69,1,0.06,0.05,0.85,0.08,0.87,1.71,1,1.84,1,1,0.25
mus_musculus,0.13,0.22,0.34,1,2.42,0.18,1.13,1,1.61,0.24,0.14,0.04,1.38,0.74,2.07,0.09,0.15,3.07,1,0.13,2.57,0.09,0.1,1,0.12,0.17,3.17,4.22,0.35,0.95,0.11,0.13,0.19,2.94,1.6,1,2.01,0.11,0.68,1,0.06,0.06,0.82,0.1,0.66,2.0,1,2.19,1,1,0.21
ornithorhynchus_anatinus,0.31,1,0.41,1,2.18,3.55,0.1,0.21,1,1,1,0.03,2.3,0.93,1,0.93,0.16,0.16,2.42,0.25,1,3.37,1,1,1,3.83,1.1,0.12,0.39,0.31,0.2,1,1,0.19,1,1,0.14,2.89,0.08,1,0.05,0.09,0.94,0.04,1,2.43,1,0.11,1,1,1.38
danio_rerio,2.07,1.88,1.17,1,1.94,1.53,1.17,0.17,0.85,0.11,0.32,0.12,1,0.81,2.03,0.13,0.09,0.24,0.22,1.72,0.11,0.12,0.55,1,2.12,0.88,2.55,0.22,0.25,2.55,1.55,0.86,0.26,0.14,2.86,1,0.23,0.33,0.1,1,0.13,0.07,0.82,1.47,0.61,0.41,1,1,1,1,1.48
oryzias_latipes_hsok,3.76,1.77,1.24,1,1.56,1.61,0.12,1,0.83,1,0.47,0.12,1,0.92,1.48,0.31,0.21,2.32,1.63,3.84,2.85,0.34,0.34,1,1.48,0.93,2.08,1.31,0.32,1.03,0.24,0.15,1.58,0.15,1,1,1.8,3.17,0.1,1,0.11,0.08,0.82,0.64,1,2.26,1,1,1,1,0.23
takifugu_rubripes,0.08,0.65,1.37,1,1.43,4.28,1.62,0.18,0.85,1,1.07,0.13,1,0.76,1.49,1,0.17,1.98,1.82,0.18,2.02,1.71,0.17,1,1.62,1.06,0.43,0.16,0.24,0.4,0.23,0.16,1.32,0.12,1.97,1,1.93,3.18,0.11,1,1.23,0.07,0.28,0.65,1,2.38,1,1,1,1,2.64
lepisosteus_oculatus,4.3,0.31,0.74,1,1.28,1.34,0.15,0.22,0.81,0.27,0.66,0.11,1,1.11,1.9,0.29,0.33,1.57,2.15,1.31,1.94,3.43,0.45,1,1.57,1.0,1.71,2.68,0.19,1.44,0.17,0.12,1.9,0.17,2.75,1,1.76,2.59,0.85,1,0.08,0.07,0.48,0.51,0.65,0.49,1,1,1,1,0.95
anas_platyrhynchos_platyrhynchos,0.15,1.63,0.4,1,0.12,2.06,0.1,0.26,1.11,2.67,1.27,0.03,1,0.7,0.4,0.09,0.11,1.98,0.28,0.24,0.07,2.82,0.07,1,0.13,5.18,0.24,4.86,0.08,1.4,0.15,0.14,0.19,2.1,1.81,1,0.19,0.27,0.06,1,0.05,0.04,1.99,0.11,2.04,1.85,1,0.27,1,1,0.17
gallus_gallus,2.33,1.69,1.38,1,0.15,0.21,0.11,0.26,1.13,1,1.59,0.03,1,0.75,2.4,0.6,0.09,0.14,2.22,0.09,2.9,0.11,0.07,1,0.12,3.69,0.22,2.83,0.07,1.53,0.11,0.08,0.19,0.11,1.81,1,0.22,0.18,0.06,1,0.04,0.05,2.02,0.12,0.87,1.61,1,0.3,1,1,0.18
chrysemys_picta_bellii,0.12,1.41,0.38,1,0.22,1.99,0.11,0.3,1.83,0.07,0.2,0.04,1,0.7,2.55,0.14,0.1,0.21,0.22,0.16,0.08,1.93,0.1,1,0.12,1.29,2.37,2.8,0.2,1.54,0.16,0.09,0.15,0.18,0.62,1,0.4,0.5,0.08,1,0.08,0.07,2.63,0.18,1,2.08,1,0.42,1,1,0.19
