organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,0.13,0.19,0.84,1.05,2.19,2.31,0.13,4.28,1.53,1.67,0.78,0.05,1,0.97,1.81,0.23,1.89,0.18,0.14,0.12,3.78,0.15,0.15,1,1.19,4.08,2.56,1.77,0.24,1.42,0.11,0.12,0.2,2.51,1.45,0.33,0.22,0.17,0.09,1.8,0.06,0.04,0.21,0.09,0.29,0.23,0.67,2.11,0.5,1.0,0.26
mus_musculus,0.15,3.27,0.88,1.04,2.13,1.71,1.18,1,0.36,0.22,0.78,0.04,1,0.64,1.6,0.08,1.79,0.16,1,0.15,0.07,2.67,0.15,1,0.15,4.66,2.81,1.59,0.31,1.52,0.1,0.13,0.19,2.85,1.17,0.25,0.22,0.15,0.08,1.93,0.05,0.05,0.2,0.11,0.35,0.2,1,1.5,0.44,1,0.21
ornithorhynchus_anatinus,1.01,1,0.65,1,2.78,0.17,0.13,0.29,1,1,1,0.04,1,0.57,1,0.97,0.22,0.13,0.11,0.27,1,0.09,1,1,1,1.24,1.3,0.12,0.27,0.14,0.21,1,1,0.17,1,0.19,0.12,2.68,0.1,0.99,0.04,0.05,0.24,0.04,1,0.18,1,0.14,1,1,1.52
danio_rerio,2.79,0.3,1.09,0.39,2.52,1.34,1.32,0.19,1.2,1,0.65,0.11,1,0.63,3.11,0.15,1.88,0.15,0.26,1.67,3.37,0.13,2.55,1,0.15,1.12,2.74,0.24,1.97,1.99,1.59,0.78,0.28,0.15,2.79,2.48,0.28,0.42,0.14,1.93,0.13,0.07,0.54,1.48,0.74,0.94,0.75,1,1.19,0.34,0.25
oryzias_latipes_hsok,0.12,0.96,1.89,0.25,1.56,3.43,0.17,1,0.92,1,0.84,0.12,1,0.63,3.13,0.34,1.52,2.21,0.21,3.5,2.0,0.0,0.38,1,0.17,0.56,2.59,1.46,0.17,2.94,0.26,0.14,1.63,0.15,1,1.53,2.35,0.98,0.12,1.05,0.13,0.08,0.48,0.68,1,0.33,0.82,1,0.25,0.47,1.4
takifugu_rubripes,2.06,1.28,0.69,0.31,1.43,0.21,1.89,0.17,1.1,1,0.72,0.14,1,0.51,3.23,1,1.48,1.29,1,0.15,2.14,2.19,0.16,1,1.52,1.35,1.45,1.99,0.19,2.8,0.25,0.14,1.39,0.12,1.55,2.03,2.05,0.94,0.11,0.87,1.22,0.07,1.18,0.63,1,0.27,0.9,1,0.31,0.44,0.27
lepisosteus_oculatus,3.44,2.46,1.29,0.97,1.34,4.04,0.15,0.24,1.01,2.13,1.24,0.12,1,0.74,3.9,0.33,1.38,2.17,0.17,1.14,0.12,0.13,0.43,1,2.56,0.63,0.46,2.13,0.29,1.66,0.18,0.11,1.76,0.16,2.67,0.18,2.38,0.78,0.77,1,0.08,0.07,1.78,0.48,1.32,0.44,1.3,1,1.61,0.34,0.43
anas_platyrhynchos_platyrhynchos,1.63,0.19,1.12,0.5,3.43,2.29,0.16,0.36,0.39,0.09,1.07,0.04,1,0.69,1.96,0.09,0.12,2.41,0.18,0.35,2.61,2.78,0.12,1,0.19,1.13,2.44,0.12,0.16,0.12,0.11,0.09,0.2,2.04,0.46,0.15,2.46,0.44,0.08,1,0.05,0.03,0.31,0.12,0.87,1.73,1,0.28,2.54,1,3.11
gallus_gallus,1.47,0.15,1.04,0.43,2.68,2.28,0.16,0.37,0.35,1,0.52,0.03,1,0.4,2.23,0.51,0.17,0.12,0.18,0.12,2.81,2.6,0.12,1,1.36,1.18,2.35,0.21,1.45,0.13,0.11,0.07,0.21,0.12,0.4,0.2,1.63,0.37,0.08,1,0.05,0.03,1.46,0.14,0.38,1.39,1,0.3,2.24,1,2.33
crocodylus_porosus,0.12,1.41,0.38,1,0.22,1.99,0.11,0.3,1.83,0.07,0.2,0.04,1,0.7,2.55,0.14,0.1,0.21,0.22,0.16,0.08,1.93,0.1,1,0.12,1.29,2.37,2.8,0.2,1.54,0.16,0.09,0.15,0.18,0.62,1,0.4,0.5,0.08,1,0.08,0.07,2.63,0.18,1,2.08,1,0.42,1,1,0.19
notechis_scutatus,0.72,0.53,0.79,0.27,2.26,3.02,1.89,0.3,1.76,1.67,1.25,0.04,1,0.58,0.13,0.11,0.06,0.2,0.24,0.19,0.1,0.17,0.12,1,0.13,6.43,0.47,0.3,1,0.1,0.11,0.06,1.74,6.95,0.18,1,0.23,0.35,1.08,0.08,0.32,0.06,1.06,0.12,0.38,1.35,1,1.69,0.19,0.87,3.01
