organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,0.28,0.36,0.52,1.98,0.28,0.22,0.15,1,0.42,1,0.45,0.13,1,0.88,0.2,0.43,1.6,0.28,0.23,2.84,0.14,0.34,0.43,2.11,1.38,0.44,0.59,1.34,1.55,0.5,0.27,0.18,1.31,1.73,1,1.56,1.53,1.03,1,1.19,0.14,0.09,0.79,0.47,1,2.54,0.68,1,0.47,1.06,1.28
mus_musculus,0.25,0.42,1.54,1.99,0.35,3.27,1.4,1,0.43,1,0.47,0.12,1,0.92,0.2,0.39,1.75,0.31,1,2.65,0.17,0.63,0.45,1,1.86,0.69,0.46,0.33,1.52,1.4,0.32,0.16,1.39,1.81,1,1.33,1.68,1.06,0.12,1.27,0.15,0.1,0.75,0.46,1,2.65,1,1,0.49,1,1.21
ornithorhynchus_anatinus,1.18,1,0.74,1,0.48,4.6,0.15,1,1,1,1,0.15,1,0.87,1,1.03,0.31,0.18,0.21,1.76,1,0.39,1,1,1,1.01,1.39,0.26,1.41,0.26,0.25,1,1,0.12,1,0.22,1,0.24,0.12,1.08,0.12,0.11,0.73,1.0,1,1.56,1,1,1,1,1.59
danio_rerio,2.97,0.31,0.43,4.66,0.29,2.42,0.47,1,1.32,1,1.11,0.08,1,1.06,0.06,0.21,1.75,0.23,1.54,0.17,1.89,0.39,2.85,1,0.14,0.92,1.47,1.76,3.07,2.56,0.22,0.37,1.93,3.31,1,2.26,0.29,2.05,0.12,0.19,0.12,0.03,3.85,1.58,1,3.1,0.37,1,0.21,0.37,0.18
takifugu_rubripes,0.19,0.67,1.98,3.7,0.15,1.81,1.03,1,1.86,1,0.29,0.07,1,1.64,3.09,1,0.2,1.74,0.13,0.19,2.19,0.69,2.67,2.46,1.71,0.42,0.28,1.81,3.39,0.23,0.1,0.14,1.66,4.0,1,4.07,0.27,0.19,0.09,0.14,1.59,0.03,0.62,0.23,1,0.21,0.33,1,0.14,0.33,0.19
lepisosteus_oculatus,2.16,0.27,0.53,2.03,0.15,0.27,1.24,1,1.92,1,1.16,0.09,1,1.07,0.05,0.37,1.2,2.7,0.18,0.23,0.11,0.59,0.1,1,0.21,0.58,0.64,1.3,2.03,2.74,0.23,0.13,2.03,0.09,1,0.18,1.52,0.2,0.11,1,0.16,0.05,0.63,0.26,1,0.81,1.67,1,0.1,0.51,0.33
anas_platyrhynchos_platyrhynchos,0.13,1.04,1.19,1.59,0.28,0.18,0.17,1,0.82,1,1.42,0.12,1,0.74,1.37,0.34,0.18,0.28,0.29,2.94,0.16,0.41,0.39,1,0.19,0.69,2.14,2.69,0.14,2.5,0.25,0.12,1.66,1.9,1,0.23,2.04,2.53,0.1,1,0.14,0.07,2.11,0.72,1,2.28,1,1,0.24,1,1.75
gallus_gallus,2.09,1.95,0.57,2.67,0.27,0.18,0.14,1,1.51,1,2.04,0.12,1,0.99,0.21,0.19,1.53,0.19,1.52,3.47,1.86,0.29,0.33,1,1.76,0.78,1.7,1.75,0.13,2.65,0.25,0.15,1.77,1.9,1,1.74,1.96,2.56,0.1,1,0.13,0.06,2.26,0.68,1,0.31,1,1,2.0,1,0.25
chrysemys_picta_bellii,0.12,0.96,1.89,0.25,1.56,3.43,0.17,1,0.92,1,0.84,0.12,1,0.63,3.13,0.34,1.52,2.21,0.21,3.5,2.0,0.0,0.38,1,0.17,0.56,2.59,1.46,0.17,2.94,0.26,0.14,1.63,0.15,1,1.53,2.35,0.98,0.12,1.05,0.13,0.08,0.48,0.68,1,0.33,0.82,1,0.25,0.47,1.4
crocodylus_porosus,3.76,1.77,1.24,1,1.56,1.61,0.12,1,0.83,1,0.47,0.12,1,0.92,1.48,0.31,0.21,2.32,1.63,3.84,2.85,0.34,0.34,1,1.48,0.93,2.08,1.31,0.32,1.03,0.24,0.15,1.58,0.15,1,1,1.8,3.17,0.1,1,0.11,0.08,0.82,0.64,1,2.26,1,1,1,1,0.23
