organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,0.16,0.3,1.05,1.31,0.4,1.76,1.77,1.72,0.83,1.37,1.99,0.07,1,0.4,1.27,0.29,0.24,1.34,0.23,1.57,2.25,2.72,0.18,0.34,0.89,0.99,1.02,0.25,0.76,0.92,0.23,0.21,1,2.23,0.73,1.35,2.43,1.69,1.39,0.69,0.12,0.07,1.48,1.49,2.62,0.24,1.2,0.22,1.72,1.01,0.56
mus_musculus,0.13,0.22,1.17,1.32,0.29,1.43,0.12,1,1.96,0.29,2.05,0.07,1,0.67,1.48,0.14,2.31,1.35,1,1.65,3.32,0.15,0.2,1,0.61,1.0,0.97,1.92,0.78,0.52,0.22,0.16,0.19,2.23,0.86,1.33,2.62,1.82,1.44,0.77,0.09,0.06,1.34,1.48,2.44,0.26,1,1.91,1.75,1,0.49
ornithorhynchus_anatinus,2.1,1,0.6,1,1.44,1.49,1.4,1.73,1,1,1,0.07,1,0.69,1,0.89,1.42,1.7,0.18,1.24,1,2.3,1,1,1,0.29,1.06,2.38,0.81,0.23,0.21,1,1,0.24,1,0.32,0.14,0.51,1.27,1.09,0.1,0.08,0.33,1,1,1.36,1,0.18,1,1,1.47
danio_rerio,2.36,2.07,1.09,0.4,0.2,2.94,1.1,0.39,1.1,0.12,2.41,0.11,1,0.83,0.17,0.37,1.34,0.29,1.48,1.54,1.83,2.76,0.73,1,1.53,0.76,0.51,1.68,1.31,1.45,2.18,0.36,2.18,0.18,2.25,0.27,0.29,1.66,0.15,0.88,0.14,0.09,0.49,0.49,2.07,2.1,1.61,1,1.73,0.46,0.82
oryzias_latipes_hsok,0.16,0.36,0.95,0.3,0.33,2.79,0.15,1,0.49,1,1.59,0.12,1,0.54,0.24,0.36,1.56,2.43,0.23,0.29,2.65,1,2.59,0.18,1.33,1.58,1.83,0.28,1.23,0.41,0.26,0.15,0.25,0.18,1,3.12,1.81,0.83,0.16,0.36,0.1,0.07,0.43,0.35,1,0.89,1.21,1,0.43,1.92,1.55
takifugu_rubripes,0.14,2.42,0.4,0.41,0.33,2.32,1.55,0.3,1.37,1,0.51,0.13,1,0.56,0.23,1,1.65,1.36,0.23,1.47,2.14,0.73,0.16,2.58,0.81,0.58,1.67,1.78,1.38,3.26,0.31,0.14,1,0.18,2.09,2.64,2.12,0.86,0.14,0.37,1.29,0.08,1.06,0.83,1,0.98,1.34,1,1.31,1.91,1.81
lepisosteus_oculatus,3.29,0.25,1.02,1.24,0.36,0.22,1.45,0.42,1.64,0.19,1.45,0.07,1,1.49,0.16,0.38,0.88,0.26,0.25,3.55,1.76,2.1,0.66,1,0.61,0.46,1.46,2.34,1.47,2.42,0.24,0.14,0.28,1.9,0.55,2.13,2.41,0.4,0.12,1,0.09,0.07,0.22,2.67,0.13,0.46,0.36,1,1.97,1.82,1.66
anas_platyrhynchos_platyrhynchos,2.2,1.56,0.58,1.21,0.21,1.63,1.64,1.62,1.09,0.15,0.69,0.06,1,0.7,2.06,0.11,0.09,2.49,1.63,1.19,0.12,1.64,2.58,1,0.83,1.32,0.52,0.23,1.04,1.01,0.24,0.16,1,0.27,2.42,0.27,2.03,1.82,1.57,1,0.1,0.05,2.5,0.16,2.26,2.7,1,1.36,1.5,1,0.46
gallus_gallus,3.8,0.29,2.09,1.51,0.2,1.64,1.65,1.68,0.94,1,0.67,0.06,1,0.82,0.28,0.49,1.64,0.16,2.61,1.48,2.17,1.92,2.54,1,0.81,0.18,0.48,1.42,0.86,1.01,0.24,0.15,0.23,1.9,2.33,1.3,1,2.19,0.23,1,0.1,0.06,1.34,0.17,0.17,0.26,1,1.45,0.5,1,1.82
chrysemys_picta_bellii,0.11,1.72,0.42,1.29,0.23,0.31,1.58,1.68,1.53,0.12,0.84,0.06,1,0.64,0.25,0.12,0.27,2.38,0.22,1.52,0.1,0.17,2.7,1,1.12,0.37,2.07,0.16,0.79,1.05,0.25,0.18,0.21,2.13,1.71,0.29,1,1.73,1.32,0.29,0.11,0.07,1.55,0.21,1.17,2.73,0.67,2.61,1.5,1.25,0.97
