organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,0.46,2.09,1,1.61,1.1,1.26,1.37,0.81,1.06,0.71,1.24,1,1.22,1,1.2,0.86,1.18,1.74,1.39,1,1.44,0.99,1.11,1.51,1.02,1,1.5,0.93,1.0,1,1,1.06,1,1.58,1,1.11,1.84,0.7,1.78,0.75,1,1.25,0.94,1,1,1.36,1.01,1,1.31,0.98,1.08
mus_musculus,0.45,2.24,1,1.0,1.3,0.79,1.81,1,0.71,1.45,1.09,0.96,1.06,1,1.25,0.74,0.43,1.65,1,1,1.34,2.29,1.07,1,1.08,1,1.59,0.8,1.14,1,1,1.14,1,1.41,1,0.96,1.97,0.75,1.66,0.72,1,1.47,0.88,1,1,1.28,1,1,1.31,1,1.11
ornithorhynchus_anatinus,1.4,1,1,1,0.77,1.5,1.42,1.05,1,1,1,1.06,0.92,1,1,0.82,1.2,0.33,0.81,1,1,0.46,1,1,1,1,1.16,0.96,1.0,1,1,1,1,0.47,1,1.12,0.24,1.49,1.69,1.5,1,1.32,1.14,1,1,1.33,1,1,1,1,0.73
danio_rerio,0.32,2.41,1,0.91,0.85,1.04,1.42,0.91,0.72,0.61,0.34,0.97,1,1,1.1,0.96,1.47,1,1,1,1.29,1.16,0.94,1,1.72,1,0.46,0.96,0.83,1,1,0.82,1,1,1,1.04,1.37,0.56,1.61,1.47,1,1.49,1.29,1,1,0.56,1,1,1.64,1.0,0.92
oryzias_latipes_hsok,1.68,1.39,1,0.8,0.62,0.69,1.44,1,1.06,1,1.18,1.07,1,1,1.04,0.91,0.54,1.19,0.87,1,1.15,0.64,1.41,0.65,1.41,1,1,0.77,1.1,1,1,1.07,1,1.4,1,1.02,1.92,0.88,1.56,1.23,1,1.42,1.42,1,1,0.6,0.39,1,0.83,1.02,1.17
takifugu_rubripes,1.18,0.75,1,0.92,0.71,1.69,1.41,1.48,1.04,1,1.25,1.13,1,1,1.01,1,0.43,0.59,0.81,1,1.14,0.5,1.15,1.31,1.23,1,1.2,1.06,1.07,1,1,1.07,1,0.45,1,0.82,0.27,0.9,1.61,1.51,1,1.42,1.56,1,1,0.57,0.43,1,0.89,1.25,0.88
lepisosteus_oculatus,1.3,1.75,1,0.91,0.38,0.51,1.94,0.9,0.84,1.35,0.82,1.1,1,1,1.02,0.8,0.35,0.38,1,1,1.18,2.15,1.18,1,0.75,1,1.11,0.85,1.0,1,1,1.29,1,1.39,1,0.85,1.57,1.02,1.69,1,1,1.46,0.67,1,1,0.68,1.83,1,1.61,1.76,1.02
anas_platyrhynchos_platyrhynchos,1,1.34,1,1.36,0.65,0.74,1.37,0.99,1.05,1.66,0.94,0.84,1,1,1.18,0.9,0.37,2.05,0.86,1,0.73,2.29,1.16,1,0.75,1,0.65,1.09,1.65,1,1,0.92,1,0.55,1,1.01,1.61,0.72,1.75,1,1,1.43,1.17,1,1,1.07,1,1,0.85,1,1.0
gallus_gallus,1.65,1.51,1,0.88,0.7,1.07,1.52,0.99,0.93,1,1.13,0.99,1,1,0.84,0.93,0.44,0.37,0.76,1,1.25,2.33,1.23,1,0.64,1,0.55,1.1,1.1,1,1,1.14,1,1.26,1,0.99,1.64,0.75,1.57,1,1,1.45,1.24,1,1,0.8,1,1,1.07,1,0.96
chrysemys_picta_bellii,2.05,1.36,1,1.08,1.29,1.32,1.37,1.17,1.01,0.54,1.21,0.84,1,1,0.99,0.95,1.56,1,1.36,1,0.85,2.16,1.07,1,1.05,1,0.56,0.83,1.05,1,1,1.16,1,1.24,1,1.16,1.7,0.67,1.79,1.29,1,0.54,0.78,1,1,1.25,1.31,1,0.69,0.64,1.04
crocodylus_porosus,2.48,0.45,1,1,1.28,0.53,1.5,1.1,1.07,1.5,0.96,0.84,1.13,1,1.02,0.89,0.42,0.54,0.66,1,0.73,0.44,0.73,1,1.03,1,0.53,0.85,1.26,1,1,1.22,1,0.46,1,1,2.16,0.69,1.8,1,1,1.4,0.77,1,1,1,1,1,1,1,1.2
notechis_scutatus,1,1,1,0.54,0.73,1.22,1.84,0.9,0.84,0.81,1,0.89,1.11,1,0.78,0.91,1,1,1.13,1,1.23,1.99,0.92,1.24,1.25,1,0.42,1.12,1,1,1,1.18,1,1.47,1,1,1,0.66,0.98,0.9,1,1.37,0.53,1,1,1.36,1.01,1,1.08,1.7,0.8
anolis_carolinensis,0.37,2.25,1,0.44,1.16,1.4,1.51,1.09,1,1,1,0.74,1,1,1.07,0.83,0.42,2.0,1,1,0.75,2.4,1.11,1,1.17,1,2.0,1,1,1,1,1.03,1,1.34,1,0.64,1.9,0.68,1.69,1.32,1,1.43,1.03,1,1,1.18,1.1,1,1.35,0.56,1
xenopus_tropicalis,0.25,0.18,1,0.95,1.34,1.34,1.34,1.05,0.63,0.68,1.31,0.9,0.97,1,1.22,0.93,1,0.38,1.8,1,0.66,1.0,1.19,1,0.68,1,1.74,0.73,0.91,1,1,1.32,1,1.12,1,0.79,1.6,0.99,1.61,1.71,1,1.43,0.75,1,1,1.24,1,1,0.9,1,0.85
callorhinchus_milii,2.52,1.07,1,1.96,0.71,0.4,1.51,1.21,1.24,0.79,0.84,0.93,1,1,1.67,0.91,0.39,2.74,0.82,1,1.29,0.88,1.0,1.46,1.55,1,0.51,0.81,0.75,1,1,0.84,1,1.19,1,1.11,1.3,1.22,1.29,1.04,1,1.51,0.69,1,1,0.7,2.28,1,0.68,0.85,0.94
