organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,0.14,0.12,1.0,0.32,0.33,0.25,1.37,1,0.18,1.55,0.22,0.04,0.32,0.43,0.06,0.32,2.63,0.22,1,0.09,0.07,0.08,0.14,1,1.47,1.66,0.26,2.68,0.09,2.33,0.08,0.07,0.22,0.07,0.12,0.17,0.18,0.09,0.14,0.05,0.06,0.06,0.17,0.13,0.13,0.27,1,0.26,0.07,1,0.11
ornithorhynchus_anatinus,0.52,1,1.09,1,1.78,1.8,1.11,1,1,1,1,0.04,2.49,0.81,1,0.87,1.91,0.13,1,0.36,1,0.08,1,1,1,0.98,0.53,1.65,0.12,0.3,0.21,1,1,0.13,1,0.23,0.11,2.06,0.72,0.19,0.06,0.12,0.28,0.06,1,0.19,1,0.08,1,1,1.89
danio_rerio,1.98,2.28,0.72,0.68,0.2,0.35,1.53,1,2.31,0.19,0.39,0.12,1,0.38,0.19,0.2,1.88,0.18,1,1.89,2.0,1.69,0.47,1,1.74,1.93,2.06,0.34,1.85,0.27,1.68,0.86,0.3,1.68,1.47,2.97,2.12,0.36,0.12,0.56,0.15,0.07,0.64,0.59,0.17,0.39,1,1,0.8,1,2.04
oryzias_latipes_hsok,0.25,0.42,1.54,1.99,0.35,3.27,1.4,1,0.43,1,0.47,0.12,1,0.92,0.2,0.39,1.75,0.31,1,2.65,0.17,0.63,0.45,1,1.86,0.69,0.46,0.33,1.52,1.4,0.32,0.16,1.39,1.81,1,1.33,1.68,1.06,0.12,1.27,0.15,0.1,0.75,0.46,1,2.65,1,1,0.49,1,1.21
takifugu_rubripes,0.28,0.88,0.58,0.59,0.33,0.23,1.32,1,0.31,1,1.14,0.14,1,0.75,1.49,1,1.85,1.87,1,0.21,1.8,2.79,0.15,1,1.64,0.78,1.21,0.28,1.3,2.02,0.27,0.18,1.28,1.81,0.38,1.5,1.94,0.98,0.11,1.24,1.42,0.1,0.8,2.16,1,2.68,1,1,0.73,1,1.93
lepisosteus_oculatus,1.85,0.19,1.11,1.4,1.48,0.25,1.35,1,0.3,0.3,1.09,0.11,1,1.15,0.17,0.33,1.75,1.23,1,1.4,2.3,0.18,0.65,1,1.49,0.65,0.98,2.2,1.14,0.42,0.17,0.17,1.58,0.16,0.31,0.18,0.18,0.97,0.78,1,0.16,0.1,1.8,0.71,1.8,0.41,1,1,0.77,1,0.38
anas_platyrhynchos_platyrhynchos,1.98,2.91,0.65,0.68,3.28,2.94,1.17,1,1.81,1.5,1.53,0.04,1,0.73,2.98,0.07,0.12,1.66,1,0.22,2.4,2.6,0.13,1,1.2,1.42,1.98,0.17,0.33,1.48,0.1,0.14,0.2,2.57,1.38,0.2,2.1,0.32,0.08,1,0.06,0.06,0.32,0.13,2.48,0.24,1,1.41,2.62,1,0.2
gallus_gallus,0.18,0.19,1.24,0.69,3.21,2.75,1.11,1,0.8,1,2.6,0.04,1,0.72,2.56,0.37,1.97,0.13,1,0.14,0.09,2.71,0.12,1,0.22,2.05,1.91,2.59,1.67,1.43,0.11,0.12,0.19,2.87,1.64,1.56,2.08,0.12,0.08,1,0.06,0.05,1.15,0.15,0.12,2.19,1,1.51,1.06,1,2.74
chrysemys_picta_bellii,0.15,3.27,0.88,1.04,2.13,1.71,1.18,1,0.36,0.22,0.78,0.04,1,0.64,1.6,0.08,1.79,0.16,1,0.15,0.07,2.67,0.15,1,0.15,4.66,2.81,1.59,0.31,1.52,0.1,0.13,0.19,2.85,1.17,0.25,0.22,0.15,0.08,1.93,0.05,0.05,0.2,0.11,0.35,0.2,1,1.5,0.44,1,0.21
crocodylus_porosus,0.13,0.22,0.34,1,2.42,0.18,1.13,1,1.61,0.24,0.14,0.04,1.38,0.74,2.07,0.09,0.15,3.07,1,0.13,2.57,0.09,0.1,1,0.12,0.17,3.17,4.22,0.35,0.95,0.11,0.13,0.19,2.94,1.6,1,2.01,0.11,0.68,1,0.06,0.06,0.82,0.1,0.66,2.0,1,2.19,1,1,0.21
