organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,0.15,0.23,1.04,1.65,1.49,2.43,0.12,3.67,0.9,1,2.29,0.04,1,0.74,2.5,0.1,1.7,0.16,2.81,0.14,0.08,2.56,0.12,1,0.25,2.16,1.65,2.64,1.13,1.57,0.11,0.17,0.19,2.96,1.4,1.49,2.05,0.13,0.08,1,0.07,0.04,1.15,0.1,1.85,2.63,1,2.14,1.04,1,2.41
mus_musculus,0.18,0.19,1.24,0.69,3.21,2.75,1.11,1,0.8,1,2.6,0.04,1,0.72,2.56,0.37,1.97,0.13,1,0.14,0.09,2.71,0.12,1,0.22,2.05,1.91,2.59,1.67,1.43,0.11,0.12,0.19,2.87,1.64,1.56,2.08,0.12,0.08,1,0.06,0.05,1.15,0.15,0.12,2.19,1,1.51,1.06,1,2.74
ornithorhynchus_anatinus,0.73,1,1.25,1,1.98,0.14,0.12,0.23,1,1,1,0.03,1,0.87,1,0.3,1.73,0.11,2.37,0.35,1,4.22,1,1,1,0.14,1.25,0.21,0.25,0.19,0.25,1,1,0.14,1,0.19,0.15,1.42,0.1,1,0.05,0.05,0.3,0.06,1,1.61,1,0.13,1,1,1.55
danio_rerio,2.22,0.29,0.59,1.03,2.09,1.47,1.29,0.22,0.87,1,1.09,0.11,1,0.77,0.13,0.39,1.69,0.18,0.21,1.69,0.13,1.99,2.81,1,2.15,2.5,1.13,1.52,1.83,1.67,1.65,0.92,0.26,1.65,1.61,2.57,0.25,0.16,0.13,1,0.11,0.07,1.78,1.5,1.85,0.82,1,1,0.3,1,1.89
oryzias_latipes_hsok,2.09,1.95,0.57,2.67,0.27,0.18,0.14,1,1.51,1,2.04,0.12,1,0.99,0.21,0.19,1.53,0.19,1.52,3.47,1.86,0.29,0.33,1,1.76,0.78,1.7,1.75,0.13,2.65,0.25,0.15,1.77,1.9,1,1.74,1.96,2.56,0.1,1,0.13,0.06,2.26,0.68,1,0.31,1,1,2.0,1,0.25
takifugu_rubripes,0.15,0.76,1.32,1.38,0.27,1.47,1.5,0.2,1.73,1,1.42,0.13,1,0.61,0.22,1,1.41,0.23,1.69,0.22,3.27,2.31,0.15,1,1.22,0.76,0.45,0.27,0.25,2.85,0.27,0.14,1.47,2.06,1.05,2.07,2.33,2.79,0.13,1,1.28,0.06,0.75,0.69,1,0.4,1,1,1.23,1,1.94
lepisosteus_oculatus,2.48,0.23,0.84,1.82,1.43,0.17,0.17,1.28,2.17,1,1.74,0.1,1,1.51,0.11,0.35,1.33,0.17,2.47,1.3,0.15,1.92,0.37,1,2.47,0.8,0.96,1.82,0.24,1.74,0.17,0.11,1.76,0.18,0.4,0.21,0.18,2.23,0.81,1,0.09,0.06,3.64,0.83,0.15,2.23,1,1,0.19,1,1.58
anas_platyrhynchos_platyrhynchos,1.01,0.21,1.44,1.81,0.16,0.17,0.15,0.29,0.66,1,1.17,0.04,1,0.18,0.25,0.65,0.06,0.12,1.85,0.36,2.29,0.06,0.09,1,1.14,2.75,0.19,0.33,0.05,0.1,0.11,0.04,0.07,1.62,0.22,0.17,0.24,0.38,0.08,1,0.04,0.03,1.77,2.94,1.8,1.26,1,0.28,2.07,1,2.29
chrysemys_picta_bellii,1.47,0.15,1.04,0.43,2.68,2.28,0.16,0.37,0.35,1,0.52,0.03,1,0.4,2.23,0.51,0.17,0.12,0.18,0.12,2.81,2.6,0.12,1,1.36,1.18,2.35,0.21,1.45,0.13,0.11,0.07,0.21,0.12,0.4,0.2,1.63,0.37,0.08,1,0.05,0.03,1.46,0.14,0.38,1.39,1,0.3,2.24,1,2.33
crocodylus_porosus,2.33,1.69,1.38,1,0.15,0.21,0.11,0.26,1.13,1,1.59,0.03,1,0.75,2.4,0.6,0.09,0.14,2.22,0.09,2.9,0.11,0.07,1,0.12,3.69,0.22,2.83,0.07,1.53,0.11,0.08,0.19,0.11,1.81,1,0.22,0.18,0.06,1,0.04,0.05,2.02,0.12,0.87,1.61,1,0.3,1,1,0.18
notechis_scutatus,0.52,0.4,1.28,0.21,2.92,3.03,1.56,0.23,1.22,1,1.53,0.03,1,0.56,0.09,0.58,1,0.11,0.3,0.16,0.1,0.14,0.11,1,0.15,0.96,0.62,2.57,1,0.15,0.1,0.07,2.2,0.12,0.35,1,0.21,0.14,1.35,1,0.43,0.06,0.52,0.1,2.74,2.76,1,1.84,1.52,1,0.17
anolis_carolinensis,1.91,2.34,0.76,0.36,2.35,2.07,0.14,0.25,1.07,1,0.46,0.02,1,0.68,1.63,0.54,1.96,0.11,2.66,0.12,0.08,2.87,0.09,1,0.14,3.85,3.41,0.69,1,2.7,0.11,1.32,0.17,0.04,0.26,0.08,0.25,0.12,0.07,1,0.04,0.06,0.82,0.1,0.2,0.25,1,0.27,1.5,1,0.16
xenopus_tropicalis,1.72,0.12,0.87,0.65,0.14,3.85,0.17,0.25,0.93,1,1.11,0.07,1,0.2,0.15,0.44,0.17,0.25,0.27,1.34,0.08,0.11,2.26,1,0.12,0.25,0.63,2.38,1.5,1,0.16,0.13,1.79,3.72,1.26,1.92,2.15,0.21,0.09,1,0.06,0.05,3.71,0.14,0.18,2.63,1,1,1.63,1,1.73
callorhinchus_milii,3.8,0.29,2.09,1.51,0.2,1.64,1.65,1.68,0.94,1,0.67,0.06,1,0.82,0.28,0.49,1.64,0.16,2.61,1.48,2.17,1.92,2.54,1,0.81,0.18,0.48,1.42,0.86,1.01,0.24,0.15,0.23,1.9,2.33,1.3,1,2.19,0.23,1,0.1,0.06,1.34,0.17,0.17,0.26,1,1.45,0.5,1,1.82
latimeria_chalumnae,1.37,0.21,1.26,1.59,2.24,1.83,0.16,0.9,0.75,1,0.41,0.07,1,0.82,1.73,0.56,2.04,1,2.48,0.27,0.13,2.36,0.17,1,0.19,4.53,0.7,0.17,1.38,1.31,0.18,0.11,1.86,1,0.21,1.18,2.27,0.3,0.3,1,0.07,0.06,3.06,0.2,0.57,1.35,1,0.18,1.48,1,2.14
petromyzon_marinus,1,0.21,1,0.66,2.89,1,1,0.69,1,1,1,1,1,0.93,1,1,1,1,1,0.26,1.17,3.35,1,1,0.98,0.44,1.81,1.66,1.59,1,0.39,0.35,1,1,0.5,1.5,0.12,0.65,1,1,1,0.13,1,2.67,0.87,1,1,1,1,1,1.01
eptatretus_burgeri,1.74,1.14,1.46,2.68,2.05,2.84,1,0.3,0.97,1,2.29,0.16,1,1.44,1,1,1.94,0.27,1,0.48,0.82,1,1,1,1,0.81,1.17,1,1.74,0.26,1.32,0.81,1.65,1.7,1.07,0.48,1,0.22,1,1,1,2.45,0.71,1.83,1,1,1,1,1,1,1.98
ciona_intestinalis,1,1,1.12,1,0.17,0.4,1.0,0.57,1,1,1,0.12,1,1,1,0.57,1.33,1,1.75,1,1.19,1.38,0.98,1,0.8,1,2.49,1.11,0.72,1,1,0.86,1,1.69,1,0.98,1.53,1.14,1.25,1,1,1.92,1.2,1,1,1,1,1,1.27,1,1.02
drosophila_melanogaster,1.65,1.51,1,0.88,0.7,1.07,1.52,0.99,0.93,1,1.13,0.99,1,1,0.84,0.93,0.44,0.37,0.76,1,1.25,2.33,1.23,1,0.64,1,0.55,1.1,1.1,1,1,1.14,1,1.26,1,0.99,1.64,0.75,1.57,1,1,1.45,1.24,1,1,0.8,1,1,1.07,1,0.96
caenorhabditis_elegans,0.41,1,1,1,1,1,1,0.56,1,1,1,1,1,1,1,0.74,2.35,1,1.07,1,0.82,1,1.15,1,1,1,1.35,1,0.87,1,1,1,1,1,1,0.64,1,1.06,1,1,1,1,1,1,1.23,0.98,1,1,1.9,1,1
