organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,1.76,0.25,0.73,0.69,1.51,2.79,0.13,1.54,0.3,1.75,1.89,0.05,1,0.89,2.91,0.23,0.15,1.76,0.17,0.22,2.47,2.52,0.12,1,0.95,1.41,1.62,0.18,0.33,1.59,0.1,0.15,0.22,2.75,1.61,0.21,2.11,0.33,0.09,1,0.06,0.04,0.28,0.09,2.74,0.24,1,2.41,2.31,1,0.29
mus_musculus,1.98,2.91,0.65,0.68,3.28,2.94,1.17,1,1.81,1.5,1.53,0.04,1,0.73,2.98,0.07,0.12,1.66,1,0.22,2.4,2.6,0.13,1,1.2,1.42,1.98,0.17,0.33,1.48,0.1,0.14,0.2,2.57,1.38,0.2,2.1,0.32,0.08,1,0.06,0.06,0.32,0.13,2.48,0.24,1,1.41,2.62,1,0.2
ornithorhynchus_anatinus,0.39,1,0.85,1,1.71,0.13,0.13,0.23,1,1,1,0.04,1,0.82,1,0.95,0.11,0.16,2.11,0.4,1,3.67,1,1,1,3.08,1.27,0.14,0.23,0.17,0.24,1,1,0.14,1,0.19,0.12,2.52,0.09,1,0.04,0.06,0.38,0.05,1,0.2,1,0.11,1,1,1.36
danio_rerio,2.71,0.31,1.12,1.09,1.78,3.06,1.16,0.19,0.82,0.1,1.61,0.12,1,0.56,2.08,0.14,0.1,0.17,1.35,0.91,2.88,0.16,2.94,1,0.19,0.94,1.13,2.95,0.13,1.62,1.7,0.91,0.26,1.63,1.74,0.19,0.3,0.43,0.13,1,0.12,0.06,1.64,1.5,2.65,0.46,1,1,0.3,1,1.44
oryzias_latipes_hsok,0.13,1.04,1.19,1.59,0.28,0.18,0.17,1,0.82,1,1.42,0.12,1,0.74,1.37,0.34,0.18,0.28,0.29,2.94,0.16,0.41,0.39,1,0.19,0.69,2.14,2.69,0.14,2.5,0.25,0.12,1.66,1.9,1,0.23,2.04,2.53,0.1,1,0.14,0.07,2.11,0.72,1,2.28,1,1,0.24,1,1.75
takifugu_rubripes,2.07,1.27,0.93,1.29,0.28,1.41,1.54,0.18,0.81,1,0.88,0.15,1,0.78,1.45,1,0.16,0.29,0.2,0.37,2.05,0.13,0.15,1,1.29,0.77,0.48,2.0,0.29,2.87,0.26,0.14,1.38,2.2,1.02,1,2.3,2.02,0.12,1,1.15,0.07,1.97,0.63,1,2.16,1,1,2.19,1,1.51
lepisosteus_oculatus,1.94,2.02,1.66,0.62,1.49,0.19,0.17,3.2,0.88,2.2,0.5,0.12,1,1.55,1.91,0.31,0.38,0.23,1.35,0.43,0.17,1.77,0.37,1,2.2,1.23,0.92,2.01,0.25,1.59,0.18,0.11,1.76,1.75,1.44,0.22,0.21,1.91,0.83,1,0.09,0.08,3.27,0.78,2.41,2.22,1,1,0.17,1,0.47
gallus_gallus,1.01,0.21,1.44,1.81,0.16,0.17,0.15,0.29,0.66,1,1.17,0.04,1,0.18,0.25,0.65,0.06,0.12,1.85,0.36,2.29,0.06,0.09,1,1.14,2.75,0.19,0.33,0.05,0.1,0.11,0.04,0.07,1.62,0.22,0.17,0.24,0.38,0.08,1,0.04,0.03,1.77,2.94,1.8,1.26,1,0.28,2.07,1,2.29
chrysemys_picta_bellii,1.63,0.19,1.12,0.5,3.43,2.29,0.16,0.36,0.39,0.09,1.07,0.04,1,0.69,1.96,0.09,0.12,2.41,0.18,0.35,2.61,2.78,0.12,1,0.19,1.13,2.44,0.12,0.16,0.12,0.11,0.09,0.2,2.04,0.46,0.15,2.46,0.44,0.08,1,0.05,0.03,0.31,0.12,0.87,1.73,1,0.28,2.54,1,3.11
crocodylus_porosus,0.15,1.63,0.4,1,0.12,2.06,0.1,0.26,1.11,2.67,1.27,0.03,1,0.7,0.4,0.09,0.11,1.98,0.28,0.24,0.07,2.82,0.07,1,0.13,5.18,0.24,4.86,0.08,1.4,0.15,0.14,0.19,2.1,1.81,1,0.19,0.27,0.06,1,0.05,0.04,1.99,0.11,2.04,1.85,1,0.27,1,1,0.17
notechis_scutatus,0.5,0.42,1.14,2.0,3.62,3.16,1.69,0.25,1.75,0.13,0.69,0.03,1,0.55,0.58,0.1,0.06,1.94,1.47,0.43,2.69,0.14,0.1,1,1.28,0.14,0.63,0.19,1,0.14,0.1,0.06,2.46,2.38,2.63,1,0.14,0.22,1.52,1,0.38,0.05,1.75,0.1,2.52,1.52,1,1.75,3.33,1,2.2
anolis_carolinensis,3.45,2.93,1.25,1.92,2.78,1.8,0.12,0.25,0.96,1,1.62,0.03,1,0.52,2.63,0.09,0.08,1.93,2.76,0.28,0.07,4.14,0.07,1,0.15,1.56,3.51,1.0,1,3.03,0.11,0.12,0.16,2.04,0.23,0.11,0.23,0.17,0.07,1,0.04,0.05,0.86,0.1,2.43,2.47,1,0.29,3.72,1,2.34
xenopus_tropicalis,1.62,1.88,0.65,1.76,0.11,3.58,0.14,0.24,0.88,0.16,1.33,0.08,1,0.18,2.7,0.09,0.08,2.31,2.66,0.82,4.58,3.8,2.19,1,1.29,1.29,0.62,4.39,0.27,1,0.17,0.14,1.84,2.19,1.03,0.16,2.02,0.17,0.1,1,0.06,0.06,3.13,0.14,1.35,0.31,1,1,2.93,1,2.68
