organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,1,1.02,1,1.03,0.97,1,1,1.44,1,1,1,1,1,1.14,1,1,1,1,1,1.04,0.61,0.96,1,0.52,1.67,0.72,1.3,0.98,0.76,1,1,0.75,1,1.13,1.08,1.54,1.85,0.95,1,1.11,1,1.08,1,0.75,0.99,1,1.41,1,1,1.23,1.39
danio_rerio,1,0.85,1,0.83,0.9,1,1,1.56,1,1,1,1,1,1.07,1,1,1,1,1,0.66,0.78,1.07,1,1,1.41,0.68,1.07,1.02,0.7,1,0.56,0.79,1,1.25,1.29,1.89,1.85,0.81,1,1.12,1,1.25,1,0.67,0.96,1,1.25,1,1,1.3,1.28
anas_platyrhynchos_platyrhynchos,1,1.14,1,0.89,0.88,1,1,1.54,1,1,1,1,1,1.1,1,1,1,1,1,0.76,0.67,0.93,1,1,1.51,0.73,1.23,0.93,0.87,1,1,0.9,1,1.06,1.15,1.63,1.68,1.13,1,1,1,1.14,1,0.87,1.2,1,1,1,1,1,1.23
notechis_scutatus,1,0.94,1,0.84,0.92,1,1,1.48,1,1,1,1,1,1.02,1,1,1,1,1,0.75,0.62,1.01,1,0.6,1.57,0.78,1.1,0.93,1,1,1,0.81,1,1.06,1.0,1,2.05,1.25,1,1.1,1,1.13,1,0.52,1.03,1,1,1,1,1.28,1.37
xenopus_tropicalis,1,0.96,1,0.93,0.92,1,1,1.39,1,1,1,1,1,1.14,1,1,1,1,1,0.88,0.57,0.99,1,1,1.77,0.8,1.0,0.91,1.02,1,1,0.79,1,1.11,1.17,1.66,2.36,0.9,1,1.01,1,1.09,1,0.69,1.22,1,1,1,1,1,1.3
callorhinchus_milii,1,1.07,1,1.01,0.97,1,1,1.38,1,1,1,1,1,1.12,1,1,1,1,1,0.83,0.74,0.98,1,0.56,1.33,0.76,1.19,1.05,1.28,1,1,0.97,1,0.65,1.11,1.58,2.04,1.06,1,1.04,1,1.13,1,0.76,0.96,1,1.74,1,1,0.61,1.28
latimeria_chalumnae,1,0.86,1,0.92,0.97,1,1,1.52,1,1,1,1,1,1.18,1,1,1,1,1,0.68,0.76,0.96,1,1,1.52,0.81,1.22,0.96,0.77,1,0.46,0.82,1,1,1.19,1.68,2.12,1.33,1,1.29,1,1.02,1,1,1,1,0.98,1,1,1.49,1.26
eptatretus_burgeri,1,0.83,1,0.99,0.94,1,1,1.31,1,1,1,1,1,1.34,1,1,1,1,1,0.88,0.75,1,1,1,1,0.83,1.08,1,0.68,1,0.55,0.72,1,0.99,1.04,1.42,1.81,1.47,1,1.28,1,1.48,1,1.13,1,1,0.72,1,1,0.95,1.25
ciona_intestinalis,1,0.99,1,1,1.04,1,1,1.25,1,1,1,1,1,1,1,1,1,1,1,1,0.52,0.9,1,1,1.23,1,1.18,1,0.97,1,0.0,1,1,1,1.39,1.39,1.78,1,1,1,1,1.21,1,1,1,1,1.99,1,1,1,1.44
drosophila_melanogaster,1,1.0,1,1.0,1.11,1,1,1.17,1,1,1,1,1,1,1,1,1,1,1,1,1.12,0.96,1,1.02,1.24,1,1.17,1.2,1.12,1,1,1.06,1,1.02,1,1.23,1.42,1.54,1,0.88,1,0.93,1,1,1,1,1.58,1,1,0.88,1.42
caenorhabditis_elegans,1,1,1,1.06,1,1,1,1.38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,0.92,1,1,0.86,1,1,1,1.51,1,1.32,1,1,1,1,1,1,1.18,1,1.93,1,1,0.97,1.33
