organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,1.41,2.05,1.16,0.61,1.34,3.17,1,0.22,0.59,0.85,1.21,0.14,1,0.84,1,1,1.5,1.59,1,0.38,1.33,1,1,1,1,0.84,0.45,1,1.22,0.3,1.35,0.77,1.85,1.61,1.82,0.43,1.54,0.2,1,1.87,1,2.08,1.12,1.88,1,1,0.81,1,1,1,1.23
danio_rerio,1.96,2.87,1.48,2.04,2.18,0.36,1,1.0,1.15,2.41,0.87,0.11,1,1.06,1,1,1.77,1,1,0.42,1.26,1,1,1,1,1.14,1.43,1,0.37,2.56,1.59,1.89,0.82,0.29,2.07,0.45,1.82,0.28,1,0.63,1,0.13,0.53,0.97,1,1,0.66,1,1,1.28,0.42
anas_platyrhynchos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
notechis_scutatus,0,0.81,1.41,1.26,3.49,2.34,1,1.1,0.7,0.8,1.09,0.15,1,0.0,1,1,0.27,1.31,1,1,1.29,1,1,1,1,0.74,0.3,1,1,1,1,0.51,1.01,1,0.99,1,0.21,0.2,1,2.17,1,2.29,0.29,1.78,1,1,1,1,1,2.46,0.42
silurana_tropicalis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
callorhinchus_milli,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
latimeria_chalumnae,0.0,1.39,0.9,0.61,1.77,0.32,1,0.85,1.01,0.21,0.6,0.15,1,0.84,1,1,0.24,0.38,1,1.14,0.86,1,1,1,1,1.27,0.31,1,1.47,0.29,1.21,0.81,1.15,1,1.85,2.42,1.9,0.24,1,2.07,1,2.1,1.25,2.2,1,1,1.68,1,1,2.53,1.14
petromyzon_marinus,1,0.14,1,1.0,2.15,1,1,0.68,1,1,1,1,1,1.43,1,1,1,1,1,2.31,1.02,1,1,1,1,0.48,2.34,1,0.22,1,0.25,1.02,1,0.16,1.01,1,2.55,0.73,1,2.89,1,3.53,1,1.75,1,1,2.1,1,1,2.31,1.0
eptatretus_burgeri,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ciona_intestinalis,1,0.13,1.22,1,0.19,1.87,1,1.5,0.97,1.31,1.66,0.23,1,1,1,1,0.24,1,1,1,0.51,1,1,1,1,1,0.48,1,0.97,1,0.31,1,1,1.01,2.63,1.72,0.32,1,1,2.16,1,0.19,0.77,1,1,1,1.66,1,1,1,0.0
sophophora_melanogaster,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
caenorhabditis_elegans,0.1,1,1,0.86,1,1,1,1.59,1,1.68,1,1,1,1,1,1,1.61,1.06,1,1,0.67,1,1,1,1,1,1.31,1,1.85,1,1,0.7,1,1,1,1.19,1,0.6,1,1,1,1,1,1,1,1,0.91,1,1,1.45,1.34
