organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,0.94,0.37,1.26,0.28,1.39,1.73,1.8,1.74,2.3,1.41,0.24,0.04,3.07,0.44,2.82,0.23,1,0.18,2.21,1,0.09,2.35,2.27,0.36,0.15,0.1,1.68,3.23,1,0.27,0.1,0.11,0.27,2.43,2.55,1,0.2,0.11,1.28,0.5,0.39,0.05,0.71,0.08,2.22,0.26,1.43,1.94,1.64,0.56,2.57
mus_musculus,1.24,1.25,1.43,0.29,3.2,1.88,2.38,1,2.61,1.58,0.28,0.03,3.4,0.19,3.14,0.08,1,0.2,1,0.15,0.11,3.03,2.44,1,0.15,0.1,1.82,3.57,1,1.69,0.11,0.1,1.73,2.42,1.92,1,0.2,0.09,1.37,0.47,0.32,0.05,0.74,0.1,0.14,0.26,1,1.4,1.54,1,2.59
ornithorhynchus_anatinus,0.87,1,1.23,1,2.0,1.28,1.58,0.22,1,1,1,0.04,3.62,0.4,1,1.01,1,0.1,2.62,0.32,1,0.09,1,1,1,3.53,1.49,0.29,1,0.09,0.19,1,1,0.13,1,1,2.65,3.21,1.28,0.71,0.31,0.07,1.18,1,1,0.2,1,0.14,1,1,1.55
danio_rerio,0.81,1.39,1.12,1.67,0.19,1.38,2.1,0.23,0.33,1.2,0.85,0.06,1,0.45,2.86,0.14,0.11,0.19,0.23,1.74,1.78,2.67,0.49,1,2.26,0.45,0.24,0.41,1,4.64,0.24,0.4,2.69,0.14,2.03,1,0.32,0.33,0.14,1.7,0.3,0.08,1.27,1.46,0.03,2.1,1,1,1.55,0.75,2.14
oryzias_latipes_hsok,0.83,1.69,0.63,1.66,1.6,3.99,1.54,1,0.34,1,1.34,0.1,1,0.64,2.59,0.35,1,1.45,1.55,3.59,0.14,1,0.67,1.9,1.51,0.7,1.45,0.45,1,0.2,0.25,0.16,0.36,0.14,1,1,0.2,3.49,0.19,0.9,0.33,0.08,1.43,0.62,1,1.25,1.17,1,0.29,1.31,2.17
takifugu_rubripes,0.32,0.63,1.39,1.56,1.57,1,0.28,1,1.35,1,0.47,0.11,1,0.5,2.55,1,1,0.28,1.49,1,1.97,1,3.24,1.74,0.23,1.06,1.83,0.29,1,1,0.24,0.14,0.35,0.08,1.38,1,0.24,3.33,0.17,0.96,0.38,0.07,0.88,0.57,1,1.11,1.03,1,0.32,1.19,2.26
lepisosteus_oculatus,1.16,1.24,1.76,1.98,0.34,2.85,1.51,0.23,1.42,0.31,0.97,0.08,1,1.84,2.57,0.28,1,0.23,2.15,1.32,3.05,3.08,0.42,1,1.47,1.74,2.75,2.93,1,0.16,0.15,0.14,3.3,0.16,0.73,1,0.18,2.51,1.18,1,0.27,1,0.77,0.52,2.28,0.4,1,1,1.61,1.58,0.36
anas_platyrhynchos_platyrhynchos,0.5,0.42,1.14,2.0,3.62,3.16,1.69,0.25,1.75,0.13,0.69,0.03,1,0.55,0.58,0.1,0.06,1.94,1.47,0.43,2.69,0.14,0.1,1,1.28,0.14,0.63,0.19,1,0.14,0.1,0.06,2.46,2.38,2.63,1,0.14,0.22,1.52,1,0.38,0.05,1.75,0.1,2.52,1.52,1,1.75,3.33,1,2.2
gallus_gallus,0.52,0.4,1.28,0.21,2.92,3.03,1.56,0.23,1.22,1,1.53,0.03,1,0.56,0.09,0.58,1,0.11,0.3,0.16,0.1,0.14,0.11,1,0.15,0.96,0.62,2.57,1,0.15,0.1,0.07,2.2,0.12,0.35,1,0.21,0.14,1.35,1,0.43,0.06,0.52,0.1,2.74,2.76,1,1.84,1.52,1,0.17
chrysemys_picta_bellii,0.72,0.53,0.79,0.27,2.26,3.02,1.89,0.3,1.76,1.67,1.25,0.04,1,0.58,0.13,0.11,0.06,0.2,0.24,0.19,0.1,0.17,0.12,1,0.13,6.43,0.47,0.3,1,0.1,0.11,0.06,1.74,6.95,0.18,1,0.23,0.35,1.08,0.08,0.32,0.06,1.06,0.12,0.38,1.35,1,1.69,0.19,0.87,3.01
