organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
homo_sapiens,1.17,1.62,1.22,0.26,0.29,1.39,0.13,0.9,1.19,0.43,0.71,0.07,1,0.84,2.89,0.24,2.0,2.17,1.69,0.18,0.11,2.42,0.14,2.84,1.17,3.76,2.07,0.12,0.3,0.38,0.17,0.16,1.29,1,0.26,1.41,1.75,0.31,0.29,1.48,0.07,0.08,1.73,2.91,0.54,1.43,0.6,0.18,0.82,1.22,0.24
mus_musculus,0.45,3.16,0.82,1.98,0.24,0.27,1.21,1,1.25,0.42,0.64,0.07,1,0.55,2.58,0.1,2.25,2.15,1,0.21,0.14,2.03,1,1,1.65,4.02,2.5,0.11,0.31,1.42,0.15,0.15,2.19,1,0.26,1.44,1.98,0.32,0.33,1.72,0.06,0.09,1.77,3.07,0.43,1.57,1,0.21,0.77,1,0.22
ornithorhynchus_anatinus,0.22,1,0.86,1,0.89,1.86,0.11,0.86,1,1,1,0.07,1,0.87,1,0.88,1,1,0.16,0.34,1,0.13,1,1,1,0.17,1.9,0.14,0.24,0.21,0.27,1,1,1,1,1,1,2.91,0.29,1.23,0.06,0.14,0.38,1,1,1.5,1,0.14,1,1,1.71
danio_rerio,0.29,2.24,1.36,2.38,3.43,0.32,1.12,0.87,1.18,0.08,0.85,0.12,1,0.7,2.33,0.36,1.59,0.14,0.76,0.12,2.81,0.13,0.84,1,2.11,0.64,0.23,0.18,2.03,1.44,1.61,0.87,1.51,1,3.34,2.52,2.12,0.42,0.24,1.69,0.12,0.07,0.66,0.9,0.61,0.86,1.02,1,2.06,1.13,1.79
oryzias_latipes_hsok,1.37,2.71,1.3,0.64,1.07,1.88,0.09,1,1.06,1,1,0.14,1,0.74,2.52,0.33,2.99,0.21,2.45,0.2,0.14,0.44,0.87,0.19,0.16,1.14,1.62,0.21,2.21,0.3,0.27,0.16,1.73,1,1,2.8,2.67,1.58,0.24,0.96,0.11,0.08,0.75,0.77,1,0.38,1.02,1,0.84,1.4,1.89
takifugu_rubripes,1.29,0.68,1.1,0.66,1.23,1.82,1.42,0.91,1.95,1,0.9,0.16,1,1.6,2.13,1,3.26,2.26,2.73,0.16,0.16,0.12,0.12,2.99,1.19,0.72,1.79,0.19,0.23,3.24,0.26,0.16,1.74,1,1.8,0.19,2.72,1.78,0.18,0.84,1.9,0.08,1.11,2.23,1,0.38,1.35,1,0.8,1.5,2.48
lepisosteus_oculatus,0.42,3.83,0.76,0.38,0.33,2.6,0.14,0.93,1.77,0.64,0.74,0.13,1,1.07,2.7,0.14,1.25,2.51,0.16,0.2,0.16,2.48,0.85,1,1.3,0.43,3.52,0.17,0.22,2.41,0.16,0.11,0.25,1,3.63,4.11,2.31,1.26,0.16,1,0.07,0.09,2.03,0.86,0.53,0.42,0.57,1,2.39,2.1,2.73
anas_platyrhynchos_platyrhynchos,1.18,1.7,1.14,0.58,2.07,1.93,0.15,0.79,1.41,0.34,1.88,0.08,1,0.82,2.0,0.13,1,1,3.09,0.59,1.86,2.04,0.15,1,1.11,0.25,0.69,0.1,0.23,1.29,0.18,0.12,1.84,1,0.27,0.17,2.68,0.46,0.31,1,0.06,0.07,2.63,0.14,2.97,0.23,1,0.19,0.95,1,0.18
gallus_gallus,1.37,0.21,1.26,1.59,2.24,1.83,0.16,0.9,0.75,1,0.41,0.07,1,0.82,1.73,0.56,2.04,1,2.48,0.27,0.13,2.36,0.17,1,0.19,4.53,0.7,0.17,1.38,1.31,0.18,0.11,1.86,1,0.21,1.18,2.27,0.3,0.3,1,0.07,0.06,3.06,0.2,0.57,1.35,1,0.18,1.48,1,2.14
chrysemys_picta_bellii,1.07,1.98,1.51,0.87,2.34,1.47,0.14,0.95,0.85,0.35,0.16,0.07,1,0.76,1,0.13,2.17,0.18,0.17,0.32,2.3,2.56,0.19,1,1.23,1.62,0.42,0.07,1.39,1.31,0.18,0.13,2.17,1,0.44,1.88,0.25,0.51,0.11,0.14,0.07,0.07,1.94,0.22,1,0.22,1.37,0.21,1.12,1.73,2.26
